n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5460333198480987,0.2671660424469413,0.5417154576684902,0.5558876750754131,0.2631045435091118,0.5477447503216927,0.5458353523944542,0.2845636777095459,0.5399472614142308
2,0.5452740073557589,0.26509075559307727,0.5383464127173847,0.5564938187947784,0.2638645739773782,0.5497053187902418,0.5464786224354836,0.28559621838999366,0.5423251137912588
3,0.5533560933048882,0.22408026755852842,0.521555840351638,0.5890705183862963,0.24460519862677782,0.5466697978871777,0.6215470937856795,0.3160046630286033,0.598546149442885
5,0.5572739258622547,0.22584312239484652,0.516934479545939,0.5897787564634464,0.2477959654018632,0.5465351028368926,0.6267573889965773,0.30966094834832963,0.590911997317056
10,0.5833916238259842,0.2282420749279539,0.5417693015909666,0.6114850730852909,0.2618218235652704,0.5688619041527363,0.6538973503798104,0.33497536945812806,0.6135599718789321
20,0.5967387722486159,0.2316043425814234,0.5459201344254756,0.62295026396551,0.2619289799055175,0.5693926560458453,0.656362670316508,0.34033492822966505,0.6170569074118247
30,0.5951685670499125,0.24604389994895354,0.5503468163042631,0.620836827923968,0.26916743948369515,0.5728416686609237,0.641883936285597,0.32220099018500825,0.6028059282890111
50,0.5955605119991101,0.26103795507358635,0.5551282536362434,0.6210457372276983,0.2683201153568854,0.5693005179292534,0.6388595884555639,0.3074991831891734,0.5884697587431305
75,0.5966703759146595,0.26455026455026454,0.5581564487717926,0.6215694157969399,0.2699279930514696,0.5706792911597592,0.6392038000842014,0.30617416550589893,0.5867966195484877
100,0.5971413889662323,0.26526789059572875,0.5587015174284531,0.6218253979987096,0.2705434062292909,0.571194982608632,0.6395066936964099,0.3064462590453429,0.5870703033025528
