n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.7348999789776545,0.036939313984168866,0.6742505121620452,0.8713629074935876,0.036514355034371206,0.7943476431146278,0.511804614350974,0.28046056685150955,0.5117789277313292
2,0.7341868680415007,0.05214465937762826,0.7043289543650222,0.8713001249112822,0.05531855374501713,0.8121241749588122,0.5127767663795995,0.17133684285073533,0.5008510093458125
3,0.727342239662983,0.03659233847913093,0.6580797942283356,0.8765526106433685,0.03851462372658561,0.7957604693037662,0.5192776736163588,0.25571580021202966,0.5060103068461685
5,0.7283748078104197,0.036344755970924195,0.6711198314914736,0.8782306347384689,0.03601816775421964,0.7934529126157179,0.5224306326942763,0.29076963967042563,0.5148386984517497
10,0.7222309242824579,0.03530005042864347,0.6653634186455839,0.875313579143193,0.03501454155824277,0.7903633746478858,0.5440195781639292,0.3027336844260007,0.5177225040401476
20,0.6590546539763149,0.01940978411566647,0.5,0.7861642238516253,0.01390260962366328,0.5,0.5197530127641061,0.5002613033494339,0.5
30,0.7457615241612703,0.03688760806916427,0.6594936500150455,0.8781758815603038,0.03893891457775615,0.7979134988385317,0.5178084456208956,0.25801807566184115,0.5072848238944819
50,0.7570270281410888,0.03143242029636282,0.6407219320772138,0.8643226523622862,0.03060406427550629,0.7523390029751199,0.51908443058353,0.33642557570277054,0.4983716105163615
75,0.721155074835428,0.022809123649459785,0.5600435286213051,0.8817578947058607,0.02093755176412125,0.6675975819515805,0.5051886063797895,0.41322559489191096,0.5065923625875999
100,0.7524515764698123,0.030182684670373314,0.6422491436485723,0.8739405244853816,0.028058174553929508,0.7461271153364699,0.5256600015655345,0.36897547966516037,0.5112814013332387
