n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5772843769656755,0.18789965568125921,0.5736701241998545,0.5635980445671719,0.17151165383689088,0.5224042735567742,0.29401102468084656,0.00590736819629544,0.30548201024976945
2,0.5847265013135337,0.1858890913824525,0.5675341333760899,0.5061691055268959,0.1640216130583609,0.506561201048502,0.3007785596125995,0.005844805044989618,0.31932763738192865
3,0.5847237879105563,0.1858890913824525,0.5675341333760899,0.506166913744544,0.1640083381280714,0.5065420102616534,0.30077938352440553,0.005846828480209255,0.31942351772326266
5,0.5847237879105563,0.1858890913824525,0.5675341333760899,0.5061675511635864,0.1640043000207457,0.5065215027555285,0.30077912166096327,0.005844805044989618,0.31932763738192865
10,0.5851492988320034,0.18622848200312989,0.5683025197646739,0.5066931994590473,0.16448605193799182,0.5077137222581526,0.2997745943358452,0.005805290554792267,0.3199023829292218
20,0.5865622417642053,0.18655420491193253,0.5701118662045659,0.5039877128833652,0.16936936936936936,0.5173211739754846,0.29781242601559393,0.006622042452661345,0.31871593076780225
30,0.5861019499500487,0.18722574353973673,0.572185152752254,0.5013913896331613,0.17161750998082978,0.5222664479495477,0.2998336349616973,0.006561702570868124,0.31190417284887934
50,0.587517852958226,0.1871968962172648,0.5722369540818214,0.49932429298203224,0.17385241543999094,0.5276163751397309,0.29854712541769457,0.006598379769574905,0.3115904348974398
75,0.5876601832780376,0.18686131386861313,0.5713069968795865,0.498744545609379,0.17456511313598116,0.5294131607455969,0.2952493194169137,0.006653081839873208,0.3141259372571616
100,0.5876624033350188,0.1868158598881051,0.5711972273955032,0.49856346656713324,0.17464371322728264,0.5296028698515325,0.29489734301599596,0.0065841040915503996,0.31294820323229416
