n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6299028036174571,0.047086521483225424,0.6286301687931131,0.4597276365915833,0.052393785668991756,0.4672372327310441,,0.0,0.5349257135616308
2,0.6406481914183852,0.04765056254136334,0.618302134675919,0.45375643112285496,0.04749057992018015,0.46134705208751625,,0.0,0.5805535316416933
3,0.6359162235957665,0.05128205128205128,0.5952198307660204,0.46071371676989825,0.031893037665090496,0.4542185586127618,,0.0,0.699527988088827
5,0.6344481379265752,0.0,0.5,0.4881956141740456,0.0,0.5,,0.0,1.0
10,0.36915227237324355,0.0,0.5,0.5896204405224086,0.0,0.5,,0.0,1.0
20,0.6339720020338644,0.0,0.5,0.48482161485571923,0.0,0.5,,0.0,1.0
30,0.6383703808205409,0.02722430459656737,0.5,0.46495957641471813,0.06920147273124062,0.5,,0.0,0.0
50,0.5,0.02722430459656737,0.5,0.5,0.06920147273124062,0.5,,0.0,0.0
75,0.3696342864868519,0.0,0.5,0.5146646608696474,0.0,0.5,,0.0,1.0
100,0.6290607484738668,0.02722430459656737,0.5,0.4447968261479804,0.06920147273124062,0.5,,0.0,0.0
