base_model,sae_config,target_group,target,dense_baseline_roc_auc,sparse_baseline_roc_auc,n_nonzero,max_roc_auc,n_at_max_roc_auc,n_features_50pct,n_features_60pct,n_features_70pct,n_features_80pct,n_features_90pct,n_features_100pct
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,modality,mri,0.908355988261538,0.8037302886104055,215,0.8028825421098191,20.0,1.0,1.0,1.0,1.0,,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,modality,ct,0.9083559899860336,0.80373029464614,215,0.8028825403853237,20.0,1.0,1.0,1.0,1.0,,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,sex,f,0.4972126495046317,0.4663094039766631,22,0.47449069034140984,3.0,1.0,1.0,1.0,1.0,1.0,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,sex,m,0.4972126497313578,0.4663094017094017,22,0.47449062266365805,3.0,1.0,1.0,1.0,1.0,1.0,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,slice_orientation,x,0.9019243587399068,0.6900571937374427,150,0.598396286015391,100.0,1.0,1.0,,,,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,slice_orientation,y,0.824168477956946,0.6946688704432356,150,0.6775117029101357,30.0,1.0,1.0,1.0,1.0,,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,slice_orientation,z,0.9643511514912086,0.7743311049442942,150,0.7033736478013524,1.0,1.0,1.0,1.0,,,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,age_group,<40,0.6560129219563477,0.5850438661819759,47,0.6170080005085404,2.0,1.0,1.0,1.0,1.0,1.0,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,age_group,>=80,0.6560129055153296,0.5850438661819759,47,0.6170079347444677,2.0,1.0,1.0,1.0,1.0,1.0,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,kvp,80.0,0.6439536948164979,0.5779963944895383,67,0.57781839674548,10.0,1.0,1.0,1.0,2.0,,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,kvp,120.0,0.6439536997018149,0.577996398153526,67,0.5778184089587723,10.0,1.0,1.0,1.0,2.0,,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,institute,B,0.6503711708484589,0.5792083002463773,275,0.573787773641611,1.0,1.0,1.0,1.0,1.0,,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,institute,C,0.5003331847805159,0.5,275,0.6009341153844701,100.0,1.0,1.0,1.0,1.0,1.0,2.0
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,institute,F,0.32093055614844,0.5042575769851549,275,0.6460114892400002,10.0,1.0,1.0,1.0,1.0,1.0,1.0
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,institute,G,0.3815789999508892,0.5,275,0.5938501281325412,20.0,1.0,1.0,1.0,1.0,1.0,1.0
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,institute,H,,,275,,,,,,,,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,institute,I,,,275,0.5421059011219536,100.0,,,,,,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,institute,J,,,275,0.5823158466690331,3.0,,,,,,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,manufacturer,ge,0.3421438413476522,0.8802451655856568,272,0.881832810525694,2.0,1.0,1.0,1.0,1.0,1.0,1.0
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,manufacturer,philips,0.5347236673407256,0.5028652775254514,272,0.5354489776160035,100.0,1.0,1.0,1.0,1.0,1.0,100.0
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,manufacturer,siemens,0.5707678017232872,0.5086461396920042,272,0.5285106729670148,10.0,1.0,1.0,1.0,1.0,10.0,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,scanner_model,Achieva,0.4995158871423901,0.5,272,0.576356102395915,30.0,1.0,1.0,1.0,1.0,1.0,1.0
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,scanner_model,Avanto_fit,0.6982829652797995,0.7263384705381802,272,0.7179361996292671,75.0,1.0,1.0,1.0,1.0,1.0,1.0
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,scanner_model,Skyra,0.8392229568097758,0.7851540905819641,272,0.7851123193856572,75.0,1.0,1.0,1.0,1.0,1.0,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,organs_abdominal,gallbladder,0.721141123131337,0.6538899160981436,272,0.6380933531762312,100.0,1.0,1.0,2.0,2.0,,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,organs_abdominal,kidney_left,0.6738208966336373,0.6302495681305718,272,0.6278705613003449,30.0,1.0,1.0,1.0,2.0,2.0,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,organs_abdominal,liver,0.7402530603267786,0.6844169286251232,272,0.6743403006817007,75.0,1.0,1.0,1.0,2.0,20.0,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,organs_abdominal,spleen,0.6709556395217048,0.632790556668474,272,0.6269449212140452,100.0,1.0,1.0,1.0,2.0,2.0,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,organs_abdominal,prostate,0.7238875921773783,0.4944328742811077,272,0.6825281073808834,75.0,1.0,1.0,1.0,1.0,2.0,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,organs_head_and_neck,brain,0.7185083343341752,0.600110409629057,84,0.5968702143549476,30.0,1.0,1.0,1.0,1.0,,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,organs_thoracic,heart,0.7124545695119131,0.6073490973461793,167,0.6019465124941082,100.0,1.0,1.0,1.0,1.0,,
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,organs_thoracic,sternum,0.6662272643491416,0.5687471635188631,167,0.5616798291445619,100.0,1.0,1.0,1.0,30.0,,
