n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.7805926578400688,0.09264126149802891,0.6599837083403164,0.7977518806676107,0.09429038316138631,0.6679370674865959,0.8491222451377278,0.2449394024498261,0.7457325448267866
2,0.7806394281549501,0.10678442392613409,0.6911164983584919,0.7975905256530822,0.1108273748723187,0.7047671926155112,0.8489967592052015,0.29798304752846394,0.776936997022255
3,0.7804692361757993,0.13365155131264916,0.7070866121272827,0.7969451840595163,0.14690733192995029,0.7383724627470846,0.8483354147342078,0.38770134300643433,0.7786633785270145
5,0.7781268229055018,0.18161180476730987,0.685263713121282,0.7940568143618254,0.2046415322232767,0.7110521727578414,0.8466480693749681,0.4162765078490774,0.7056618874451347
10,0.7761468795755335,0.11875589066918002,0.706492888963375,0.7934011835654552,0.12508093163245665,0.7264464084134303,0.846492445532419,0.341715724640147,0.7876072529360348
20,0.7829870381269007,0.12086330935251799,0.7103144134417885,0.7998447716008745,0.1269324363011738,0.727960366352942,0.8513485471282832,0.34618065235572903,0.7870316100731629
30,0.7831533325798116,0.13445378151260504,0.7081194565809081,0.8000642584987401,0.1474484402761847,0.7388510430325175,0.8515088857272106,0.39054237139985143,0.7784807517493493
50,0.783304036927762,0.11207645525629888,0.6976455043983584,0.799969274145123,0.11690935916351274,0.7153484456421304,0.8513590207545314,0.3189028318964195,0.7840791012442482
75,0.783418364364138,0.11548791405550582,0.7046688466830103,0.8000098316941302,0.1202934961649169,0.7202327292648395,0.8512906054156053,0.3285650137917763,0.7858591039920668
100,0.7837015846042517,0.12487611496531219,0.7172344712810779,0.8003761731855438,0.13038949443845094,0.7309435867558437,0.8514893786312537,0.35358955765047134,0.7857869644434554
