n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6044243346085496,0.29627659574468085,0.5909846308274566,0.5988522725689459,0.2809573765396122,0.585183369614157,0.598423903533474,0.31732974951919735,0.5856699049088177
2,0.5965619414527222,0.29627659574468085,0.5909846308274566,0.572462184812248,0.2809838708111205,0.5852261568422137,0.5815833251944211,0.3173731758165393,0.5857395516256105
3,0.5967866407014202,0.2974816369359916,0.5928948945257886,0.5726258476606427,0.28030244876026716,0.5842029084098754,0.5817674739204923,0.31680895988249336,0.5846819081257613
5,0.6160794078182535,0.2922177791448785,0.5849971320437772,0.6075279962712409,0.27841016358124093,0.5811514838866214,0.6201204700117159,0.31949838083319354,0.5900550067650929
10,0.6238156877205382,0.290448343079922,0.5828583280839492,0.6182682947266801,0.2791671540531056,0.5821130447395448,0.6350371072030883,0.31980250867360555,0.5907153720350686
20,0.6272010603755999,0.28869448183041724,0.5808725244672516,0.6287980567753193,0.27633412078260344,0.578520671069259,0.6331494540646776,0.32356579345226644,0.5962133287719161
30,0.6260533977599213,0.28755948334466347,0.5795857851798363,0.6269184247491006,0.27624458874458874,0.5784437697981131,0.6323868660239385,0.32431604594500524,0.5972666029696507
50,0.625821176527827,0.2878581173260573,0.5799570830836676,0.6263727491379528,0.27602965302019217,0.5781864305184733,0.6324967444200529,0.32439446366782004,0.5973745228830964
75,0.6257827663998443,0.2880546075085324,0.580191384864361,0.6263359704031812,0.27594639659111964,0.5780875887560333,0.6324529186970171,0.3242488161258329,0.5971707745400355
100,0.6253748188322297,0.2880546075085324,0.580191384864361,0.6258732193101493,0.2759293806599869,0.5780674982006802,0.632352471995181,0.3242790073775989,0.5972126573923894
