n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.8250542803432321,0.02741290691033695,0.7430025180529831,0.7807843246876985,0.03565260301011596,0.7305358863639135,0.9420688927599472,0.005852013489387026,0.8623662698664284
2,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5
3,0.8239235843755853,0.024725274725274724,0.7514758010252568,0.7783567093459324,0.029014866851821596,0.6943218550639783,0.9409017049763895,0.004576492808368444,0.8552061539762041
5,0.8233894519246111,0.02187853640135798,0.7391872862603098,0.7777330418023688,0.02456101963787539,0.6553901717064523,0.9419789929680249,0.0035132723622574168,0.8111857816099242
10,0.8085308582884176,0.0,0.5,0.7899215807456741,0.0,0.5,0.9417830080671645,0.0,0.5
20,0.822681899846697,0.027090694935217905,0.7309914746911397,0.7831547418168708,0.03638205377115604,0.7327770052410518,0.9406975854861482,0.006014725707767292,0.859063207269002
30,0.8224876698645245,0.025693730729701953,0.7407307209400731,0.7832375116727588,0.0322687589788927,0.7140306900379356,0.9407776734537655,0.005080950740613159,0.8461994024347412
50,0.8226853682392359,0.026651860077734593,0.7379733488717319,0.7836160953283212,0.03454581594116478,0.7253433214200038,0.940848872076286,0.005632458233890214,0.8582136039182892
75,0.8225917216406884,0.0,0.5,0.783434142599437,0.0,0.5,0.9411779455683595,0.0,0.5
100,0.8225778480705332,0.026272577996715927,0.7353581808974812,0.7835642371064299,0.03413210024100163,0.7236161935895715,0.9407820342645677,0.005518918666105421,0.855936505923826
