n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5095174526753474,0.0,0.5,0.4769465494153348,0.0,0.5,0.44610802171923275,0.0,0.5
2,0.5117299485720539,0.0,0.5,0.48416196192213673,0.0,0.5,0.4372100579652394,0.0,0.5
3,0.513981288981289,0.820181731229077,0.5302330670751724,0.4830236919824523,0.8089607147549599,0.4857327646281644,0.4368487977104746,0.3159580628072294,0.4369461992077941
5,0.5196493051756209,0.4036124794745484,0.4935441514388883,0.4773661535762247,0.4237553342816501,0.5009551865864661,0.4617056739719929,0.2748332366589327,0.4885579517175539
10,0.513979100558048,0.911042944785276,0.5111719006455848,0.47890395376048034,0.9046424240969062,0.49646470683057936,0.4372783560485335,0.3719855104368883,0.45193257618028926
20,0.5244643834117518,0.0,0.5,0.5489194712283356,0.0,0.5,0.4964810150074118,0.0,0.49999269859813084
30,0.5607085020242915,0.9318157414367014,0.51946055367108,0.5426560184312262,0.9263798628079272,0.5149347347000814,0.4757264225172482,0.4016229029905179,0.47143347361143434
45,0.4912271583324215,0.24392014519056263,0.49617025932815406,0.5408576042856187,0.2546753436095906,0.5370779159321497,0.5168637319328662,0.2942819655478901,0.5297808313020134
50,0.4912271583324215,0.24392014519056263,0.49617025932815406,0.5408576042856187,0.2546753436095906,0.5370779159321497,0.5168637319328662,0.2942819655478901,0.5297808313020134
75,0.4912271583324215,0.24392014519056263,0.49617025932815406,0.5408576042856187,0.2546753436095906,0.5370779159321497,0.5168637319328662,0.2942819655478901,0.5297808313020134
100,0.4912271583324215,0.24392014519056263,0.49617025932815406,0.5408576042856187,0.2546753436095906,0.5370779159321497,0.5168637319328662,0.2942819655478901,0.5297808313020134
