n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.4970149705082455,0.4558122478914558,0.4950085931981274,0.5063175774669243,0.452012755680681,0.500995042420107,0.518766194147307,0.4338824042762081,0.5058988925429958
2,0.5223300016242965,0.2297583721916066,0.5165087912101842,0.5219414603434549,0.2103579028206646,0.5109560168315705,0.570475587518547,0.3210021530632218,0.5376112615281348
3,0.5635151513176087,0.43174279152845113,0.5441852089067942,0.5542189113461465,0.40808988764044946,0.5289375039235755,0.5808386582598872,0.4696207051451871,0.5556791801586947
5,0.5702960004099673,0.43945469125902165,0.559863743802277,0.5585444578187194,0.42037533512064346,0.5475950415102923,0.5917068557242687,0.48109702662338466,0.5789703645964541
10,0.5731699367176283,0.4338682899833979,0.5615993144998245,0.5618521271011032,0.41208752479634275,0.5466705024451268,0.5939764984385326,0.4749673821279644,0.5786487539559171
20,0.5729587057490134,0.43297252289758537,0.5614288267527598,0.5615777840251716,0.41093784762251484,0.5465208361196406,0.5931479118812589,0.4724872363467588,0.5775479222900168
27,0.5709646419458527,0.4340402093087304,0.5608750811016461,0.5605744066113196,0.411653135568557,0.5456697245536222,0.5922820092611307,0.4727412336831328,0.5766154230847604
30,0.5709646419458527,0.4340402093087304,0.5608750811016461,0.5605744066113196,0.411653135568557,0.5456697245536222,0.5922820092611307,0.4727412336831328,0.5766154230847604
50,0.5709646419458527,0.4340402093087304,0.5608750811016461,0.5605744066113196,0.411653135568557,0.5456697245536222,0.5922820092611307,0.4727412336831328,0.5766154230847604
75,0.5709667243771765,0.43360881542699725,0.5605714988308507,0.5605765313317412,0.411664943953276,0.5456757639031047,0.5922858766883881,0.4727412336831328,0.5766154230847604
100,0.5709667243771765,0.43360881542699725,0.5605714988308507,0.5605765313317412,0.411664943953276,0.5456757639031047,0.5922858766883881,0.4727412336831328,0.5766154230847604
