n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5,0.0,0.5,0.5,0.0,0.5,,0.0,1.0
2,0.5,0.008761449621664676,0.5,0.5,0.017363646221129864,0.5,,0.0,0.0
3,0.5,0.0,0.5,0.5,0.0,0.5,,0.0,1.0
5,0.7055407429051461,0.0,0.5,0.47562732222986887,0.0,0.5,,0.0,1.0
10,0.5,0.0,0.5,0.5,0.0,0.5,,0.0,1.0
20,0.700345155045838,0.0,0.5,0.47207090065363966,0.0,0.5,,0.0,1.0
30,0.6925380766280727,0.0,0.5,0.46873817746808005,0.0,0.5,,0.0,1.0
50,0.5,0.008761449621664676,0.5,0.5,0.017363646221129864,0.5,,0.0,0.0
75,0.7347419555133495,0.008761449621664676,0.5,0.49872156247225014,0.017363646221129864,0.5,,0.0,0.0
78,0.7628793966178459,0.0,0.5,0.5771227490341782,0.0,0.5,,0.0,1.0
100,0.7628793966178459,0.0,0.5,0.5771227490341782,0.0,0.5,,0.0,1.0
