n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6374395073462438,0.6188747731397459,0.6116272622866421,0.5807892666753333,0.5924516673588874,0.5409966881947929,0.4600403306463514,0.7416922552030024,0.4789187388220294
2,0.6361458952120709,0.6269328929590151,0.6102273177299908,0.5795720887382648,0.6026717607885276,0.5388209939753783,0.46001279863654676,0.7478678535968567,0.4707825026619782
3,0.6397962456932398,0.6386704258792105,0.6051700922735733,0.5803291724111888,0.6172082727546596,0.5401069657242743,0.46364143367496913,0.7615906821404895,0.46574504693172203
5,0.6415219199239633,0.6622209336039432,0.5963843016118173,0.57409201255077,0.6460870120743627,0.5456427088769775,0.4637703653018718,0.787074086550707,0.46237010786551025
10,0.6418236901508851,0.6611522275431723,0.596584293691339,0.5750437101519964,0.6452635751089972,0.545329331672521,0.46421326602258794,0.7864658687360253,0.46195470103921843
20,0.6420430874024792,0.6613464886825304,0.5966971605084948,0.5755706147892907,0.645436764123084,0.5454303111736822,0.46414146935096523,0.7866653516125851,0.4620908999986584
30,0.6420387311393607,0.6613464886825304,0.5966971605084948,0.5755625320324125,0.6454194472143386,0.5454202132235662,0.46412485104509327,0.7866154870420753,0.4620568502587984
50,0.6420387311393607,0.6613464886825304,0.5966971605084948,0.5755625320324125,0.6454194472143386,0.5454202132235662,0.46412485104509327,0.7866154870420753,0.4620568502587984
75,0.6420387311393607,0.6613464886825304,0.5966971605084948,0.5755625320324125,0.6454194472143386,0.5454202132235662,0.46412485104509327,0.7866154870420753,0.4620568502587984
100,0.6420387311393607,0.6613464886825304,0.5966971605084948,0.5755625320324125,0.6454194472143386,0.5454202132235662,0.46412485104509327,0.7866154870420753,0.4620568502587984
