n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6186663627558534,0.16629464285714285,0.5748930135104416,0.6378952266878761,0.16202458898626876,0.5872200774578379,0.6436430329924132,0.18503243456094173,0.6010928367819147
2,0.6144360107134739,0.15875486381322956,0.5568053784801494,0.6352483489148699,0.16754360035471474,0.5765892682033714,0.6342662179011831,0.1777714122028072,0.5749796422337369
3,0.618268251944535,0.1590909090909091,0.5563248040640041,0.6352125199808213,0.16909102068372922,0.576559558481386,0.6337967990013054,0.17466485916553698,0.5694388931765639
5,0.6189934375030886,0.15056664867781974,0.5699291368932903,0.6360116306706718,0.14318445503914515,0.5870643476348903,0.6350995221459432,0.1609324298530254,0.5693545352558111
10,0.6193374991352132,0.1596130592503023,0.563472885225487,0.6338096555051157,0.15747332934105174,0.5769272609311099,0.6355714748484634,0.1787632002863791,0.5861385662421768
20,0.6249490393453315,0.1564209848728677,0.5787166068728319,0.6377519122892144,0.14416997673161444,0.5805451602415704,0.6392034335908193,0.17069476097547662,0.592697933341314
30,0.6246312301716725,0.16996871741397288,0.5829701228491515,0.6355433092033282,0.15674896651116926,0.5830888821432855,0.6397191001457583,0.18166460408195337,0.5979480819947747
50,0.6276456301084196,0.16682646212847554,0.5596517626827171,0.6404106437227759,0.16933473060383766,0.570302231009166,0.640970559643078,0.18380432201377345,0.5763959624764077
75,0.6293236254830453,0.1777456647398844,0.5785943013016277,0.6411297030810464,0.17043392179508332,0.5830324141881202,0.6412370067378663,0.17999167187174683,0.581595726492116
100,0.6307082110277621,0.15702479338842976,0.5807019104377305,0.6386458625179252,0.1443547359519976,0.581714937353589,0.6418351469410196,0.1696379317304199,0.5904809822826291
