n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6306460898183202,0.3425263874702077,0.5987123570903274,0.639764442496054,0.3572279802101766,0.6036746814934277,0.5874104764404318,0.451245864413815,0.5654542814381527
2,0.6349285271388337,0.34299138606108065,0.600063114856838,0.6485390225339195,0.3480826783766397,0.5968341387869001,0.5974294019952994,0.4490805257261524,0.5786720641363363
3,0.6349285271388337,0.34299138606108065,0.600063114856838,0.6485390864825278,0.3480826783766397,0.5968341387869001,0.5974294838589939,0.4490805257261524,0.5786720641363363
5,0.6335941304292365,0.344482891195694,0.6013001771431044,0.6474753377740406,0.34580747899621106,0.5945404534225407,0.5943007227053634,0.4493620468507392,0.5773911090900197
10,0.6327968755372805,0.3422818791946309,0.5991102912711821,0.6450265381707497,0.3463828878147782,0.5945824422200758,0.5899401335794758,0.4477114677807451,0.5730181035231295
20,0.6309534835740533,0.33978808914870295,0.5966048311150698,0.6418747402105454,0.3471306884784704,0.5948508520178342,0.5866082804097342,0.4472159430457037,0.5701388119131579
30,0.6304694458648676,0.34107402031930334,0.5977686846043009,0.6405556593713515,0.34676431527779566,0.5943345143489506,0.5866931188429672,0.44647671133927536,0.5684158130471735
50,0.6298639481060552,0.34096692111959287,0.5976813331987474,0.6392394104662453,0.34641907074046335,0.594035917981615,0.5851060706117642,0.44570837642192346,0.5679623397137313
75,0.6296375277167398,0.34242093784078514,0.5990678634456275,0.6383994679311855,0.34563528484080713,0.5933163790168525,0.584674763551132,0.4457274527825603,0.5681828410509902
100,0.6295679238983463,0.3416757344940152,0.5983407669841636,0.6382557483803242,0.34571185083800327,0.5933678610029556,0.5847778876496516,0.4458875578898347,0.568243805883674
