n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6070762350980741,0.7086102952542896,0.5862105410292444,0.5920215691164392,0.6914653985733951,0.5795288055483886,0.5018655287241857,0.542354031510658,0.5042720720436552
2,0.6031344491349192,0.7017488577280605,0.5912058851944454,0.5888769448910683,0.6709564767509539,0.5758830492240994,0.5029783764750262,0.5203298810893747,0.5013156427287188
3,0.600532543223208,0.7049257232212666,0.5898512736568824,0.5902200248194927,0.6768955376550313,0.5754662628366785,0.5016484107600709,0.5319750990379174,0.5036674086724555
5,0.6006719784522895,0.7026431718061674,0.5913533713519873,0.5904431294362757,0.6728785143151922,0.5763144286592621,0.5030447208691381,0.5228920259442961,0.5007754730286904
10,0.605381857249844,0.6989707046714173,0.591252477801706,0.5876684675785324,0.6650349193916846,0.5747987838039582,0.5075003363487779,0.5131936360108653,0.5008610890812496
20,0.6049594404501942,0.6977186311787072,0.58991859312252,0.5865561932398098,0.6645317299522907,0.5750779194107192,0.5072567852330978,0.5139426800929512,0.5004666638127983
30,0.6047313593598724,0.6978291871335763,0.5901876996887203,0.586570266751377,0.6645098039215687,0.5750960308363529,0.5071817907208936,0.5139924469836351,0.5005770634595194
38,0.6047069496299656,0.6978291871335763,0.5901876996887203,0.5865614247717965,0.6645098039215687,0.5750960308363529,0.507158475635152,0.5139924469836351,0.5005770634595194
50,0.6047050653701131,0.6978291871335763,0.5901876996887203,0.5865613228374837,0.6645098039215687,0.5750960308363529,0.5071634243073629,0.5139924469836351,0.5005770634595194
75,0.6047050653701131,0.6978291871335763,0.5901876996887203,0.5865613228374837,0.6645098039215687,0.5750960308363529,0.5071634243073629,0.5139924469836351,0.5005770634595194
100,0.6047054079628136,0.6978291871335763,0.5901876996887203,0.5865613228374837,0.6645098039215687,0.5750960308363529,0.5071624385962316,0.5139924469836351,0.5005770634595194
