n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5583183183183184,0.001998001998001998,0.5,,0.0,0.0,,0.0,0.0
2,0.7022622622622623,0.0,0.5,,0.0,1.0,,0.0,1.0
3,0.7125725725725726,0.0030379746835443038,0.6031031031031031,,0.0,0.5919684396283926,,0.0,0.4499318908987234
5,0.711031031031031,0.0035190615835777126,0.6301301301301301,,0.0,0.6474688990330626,,0.0,0.5126556213767542
10,0.7693293293293294,0.003808073115003808,0.7381381381381381,,0.0,0.4625767497484213,,0.0,0.40276237843317386
20,0.7127927927927928,0.0033707865168539327,0.6226226226226226,,0.0,0.6337013432117491,,0.0,0.5014097000031679
30,0.5,0.001998001998001998,0.5,,0.0,0.0,,0.0,0.0
50,0.7602602602602602,0.0026609898882384245,0.6248248248248248,,0.0,0.2275438622077676,,0.0,0.16623900486795282
75,0.5,0.001998001998001998,0.5,,0.0,0.0,,0.0,0.0
100,0.7197597597597598,0.0,0.4992992992992993,,0.0,0.9991468198987852,,0.0,0.9976663393205986
