n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.7441453162530024,0.0,0.5,0.5642212627722454,0.0,0.5,0.9481822293284043,0.0,0.5
2,0.5,0.0015987210231814548,0.5,0.5,0.0010160757702217223,0.5,0.5,0.001814594828404739,0.5
3,0.5,0.0015987210231814548,0.5,0.5,0.0010160757702217223,0.5,0.5,0.001814594828404739,0.5
5,0.7253803042433947,0.0,0.5,0.5712692070180536,0.0,0.5,0.9376938240531703,0.0,0.5
10,0.7253803042433947,0.0,0.5,0.564903504356445,0.0,0.5,0.9376655577253719,0.0,0.5
20,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5
30,0.7562550040032026,0.0025665704202759063,0.6888510808646917,0.5667645547811918,0.0008307564499007707,0.4427035386060414,0.9439116787863668,0.0036966987620357635,0.7550282724726523
44,0.7224279423538831,0.00336417157275021,0.7628102481985588,0.5750677467398015,0.001077022494384097,0.5142885684187584,0.9348843968641581,0.005534995977473854,0.8366907995560957
50,0.7224279423538831,0.00336417157275021,0.7628102481985588,0.5750677467398015,0.001077022494384097,0.5142885684187584,0.9348843968641581,0.005534995977473854,0.8366907995560957
75,0.7224279423538831,0.00336417157275021,0.7628102481985588,0.5750677467398015,0.001077022494384097,0.5142885684187584,0.9348843968641581,0.005534995977473854,0.8366907995560957
100,0.7224279423538831,0.00336417157275021,0.7628102481985588,0.5750677467398015,0.001077022494384097,0.5142885684187584,0.9348843968641581,0.005534995977473854,0.8366907995560957
