n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5316257774100588,0.18258664412510567,0.529829057431935,0.49161876900230694,0.18274190541296376,0.5100988067822849,,0.0,0.6496129924710404
2,0.5467392599967748,0.21159257175014068,0.5647143478169414,0.5049441557390851,0.20960985626283368,0.546884177669499,,0.0,0.6597501610331464
3,0.5504146479130002,0.2159024956471271,0.5685339115558017,0.5182034429851891,0.21294473422500051,0.5496061174101396,,0.0,0.6453152553827309
5,0.5969163902931546,0.20525783619817997,0.558774654503895,0.5978305233245315,0.21872022023788515,0.5531186682232387,,0.0,0.5766359383744628
10,0.5953760315802021,0.20609579100145137,0.5598237636813653,0.5958711089471338,0.2237729074218353,0.5579444723651766,,0.0,0.5544925607966125
20,0.5971109619200539,0.21101341971309578,0.5657941327013554,0.5985450784257059,0.23034141323217386,0.5648590935965436,,0.0,0.5272594798365382
30,0.59792934595887,0.208955223880597,0.5633041417463067,0.5997045841156183,0.2296102034500171,0.5640609996563093,,0.0,0.5313143472613806
50,0.5977143968980725,0.20724907063197026,0.5613181088339024,0.599407266330247,0.23004938913439044,0.5645411779216502,,0.0,0.5276079450058605
75,0.5979624318999306,0.20806371329019413,0.5618974414707512,0.5997076558678947,0.22501429735022443,0.5593884333664787,,0.0,0.5501103473036187
100,0.598247277750121,0.20865936358894105,0.5622778202368516,0.6000362679440419,0.2221013310122221,0.556773959085124,,0.0,0.5718947001615611
