n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6092343670164682,0.1817416912074043,0.5956226258927106,0.49414342077643586,0.15291043817192787,0.4896485598348238,0.42134599042222887,0.013884719303512458,0.44809886464987725
2,0.6093655714850497,0.17727272727272728,0.5932060360991467,0.4931651826361382,0.15727283316292856,0.48969530044235043,0.41954573524708627,0.014364547075303507,0.45087854473787653
3,0.6080338750286106,0.17338995046001415,0.5889970892259746,0.49038204885696146,0.16077178321248617,0.49197277174922377,0.4132467646509424,0.01544877724226344,0.46894885871345693
5,0.6045349928675634,0.16793388429752065,0.5804930744848347,0.4827596242890967,0.16378366542588133,0.49305595779501704,0.41011109419527214,0.016724460674502103,0.492477275980672
10,0.609054900111206,0.17633928571428573,0.5923529180567404,0.48987911990821775,0.15786860830713223,0.4895452291171374,0.4173288394934844,0.013651991614255765,0.4371493322761223
20,0.6111853832442067,0.1758580794446587,0.5896161200006473,0.49018358387728633,0.15410981477819524,0.4860385698622347,0.4193028810993471,0.01356333031925993,0.43796785032219043
30,0.6115489410007606,0.1754905590522029,0.5909478164570863,0.4906828604858414,0.15801228364042436,0.48956924885319164,0.4203236271346108,0.013610446937649439,0.4361800200617232
50,0.6131427573977357,0.17651632970451012,0.5904409163736241,0.4924757709465836,0.1535657749457917,0.48583375046902855,0.4239310741335489,0.013529855062303931,0.43789884755506514
75,0.6127514559650059,0.17644772638942868,0.5903328316351891,0.4906542981039145,0.15326058025019962,0.4854001245724884,0.4214961091116648,0.013476284897085402,0.4370414959675209
100,0.6124821111087992,0.17471975260919984,0.5873746621629432,0.49054381760551935,0.15312347002236248,0.4847874899176188,0.42023460681023017,0.013455187236793821,0.4363890158298479
