n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5596544354014713,0.8450430772964446,0.5555530448314889,0.518079054962169,0.8184949631769212,0.5172930224542681,,0.0,0.23128583647479964
2,0.5790400361151282,0.8135290363752393,0.5726546780684105,0.5441031703987108,0.7816783368666576,0.5209000569578202,,0.0,0.3524566794437229
3,0.5796588613713531,0.8053085942533179,0.5707172723843059,0.5438591895698499,0.7722537607278704,0.5205084290887296,,0.0,0.3719073716222638
5,0.5812330034896882,0.8001039095986492,0.5733590999119718,0.544160573030928,0.7653705373720227,0.5210484095881226,,0.0,0.3863422772726793
10,0.5950957208092305,0.7690440879061615,0.5710542552188129,0.5403022893457267,0.7409104093941606,0.5304806455868023,,0.0,0.4474820751628811
20,0.59510836994624,0.7703903095558546,0.5708469567404426,0.5405440427712502,0.7424371697576602,0.5297422464115662,,0.0,0.4445781987518611
30,0.5953284403687752,0.7720617864338483,0.5708911673163983,0.5407013199078219,0.7433337319143848,0.5291750294970996,,0.0,0.44267747964646625
50,0.5953805106026786,0.7720617864338483,0.5708911673163983,0.5407301199275172,0.7434028625374257,0.5291603386953924,,0.0,0.4424557290841702
75,0.5954238615285463,0.7725563909774437,0.5712684308978873,0.5407689390830946,0.7435575610873701,0.5290899960913684,,0.0,0.4421495021171899
93,0.5954242299500125,0.7725563909774437,0.5712684308978873,0.5407685506514285,0.7435575610873701,0.5290899960913684,,0.0,0.4421495021171899
100,0.5954242299500125,0.7725563909774437,0.5712684308978873,0.5407685506514285,0.7435575610873701,0.5290899960913684,,0.0,0.4421495021171899
