n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6381920287718885,0.0,0.5,0.6584056264661502,0.0,0.5,0.6117373656412325,0.0,0.5
2,0.6408424942783177,0.0852314474650992,0.623631218142155,0.6579720172993648,0.08428788116533291,0.6326794070631588,0.6107995532582341,0.0765797794284504,0.591575211829751
3,0.6408424942783175,0.08013468013468013,0.6080928976100252,0.6578851591080652,0.08012824405231775,0.6202362002825896,0.610686788221139,0.07332346578617785,0.576621803469973
5,0.6603712527670431,0.08439133681852129,0.6181212514270706,0.6777492196571298,0.0836749041611949,0.6281169412115057,0.6559821594093849,0.07734061148762611,0.5948406996652162
10,0.6627409940451624,0.0815347721822542,0.6133549694218287,0.6776623078317061,0.08116213914567469,0.6237993015004395,0.6512391522447956,0.0741821754710438,0.5808305743666917
20,0.6640950362060557,0.07671673819742489,0.6102824125935971,0.6779551783297717,0.07293486458363166,0.6015967776880066,0.6474484411293224,0.06883115311543256,0.5552859183651214
30,0.6605688987034426,0.08157979928779541,0.6192642479270627,0.6794432143766157,0.07818544133161412,0.6136388403098063,0.6302223985198271,0.07183892172568082,0.5692128057491195
50,0.6647603325275633,0.05975941016686069,0.5,0.6801985646541165,0.05805459980822381,0.5,0.6478595707789446,0.061411858629901436,0.5
75,0.6640521570876503,0.05975941016686069,0.5,0.6799970903396787,0.05805459980822381,0.5,0.6432920597012755,0.061411858629901436,0.5
100,0.665990427236816,0.07931665649786455,0.6131633533614549,0.6813643041588922,0.07761537270857749,0.6163252854063552,0.6486998796814284,0.07154484456267123,0.5695990283639218
