n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6186820767147279,0.4763231197771588,0.5905253247950096,0.6135449104727043,0.4756519007225887,0.5779408267894738,0.5081274296773562,0.47028753993610223,0.5020532362867868
2,0.5981045887551484,0.4813614262560778,0.588118953667078,0.5823852055721451,0.4836372720459655,0.5729085040436586,0.4995216685860541,0.480671572183646,0.500823632058255
3,0.5982344313886172,0.4829255176122614,0.5884113565369086,0.582490891725248,0.484387430389817,0.5723327823334341,0.4998496689941787,0.48304997424008245,0.5007592792029596
5,0.5999210152529122,0.4840085287846482,0.5874423330836974,0.5784412650774248,0.487295647035651,0.5723627510213835,0.49587214352984044,0.4892966360856269,0.5024773737050572
10,0.6026981573309014,0.4836985569214324,0.5877489535505965,0.5769011428342457,0.4862140527720131,0.5723105014655885,0.5043070949636518,0.4869120654396728,0.501381967006277
20,0.6029025995248924,0.48428343100692595,0.5875523053405406,0.5770574048474921,0.4874544917839221,0.572276475134351,0.5042092480464413,0.4900702719217843,0.5028664479702236
28,0.6022991224830572,0.48347547974413646,0.5870140922081402,0.5773295727507459,0.4870986803230254,0.57219656520956,0.5042032130803304,0.4896088019559902,0.5025352490300603
30,0.6022991224830572,0.48347547974413646,0.5870140922081402,0.5773295727507459,0.4870986803230254,0.57219656520956,0.5042032130803304,0.4896088019559902,0.5025352490300603
50,0.6022991224830572,0.48347547974413646,0.5870140922081402,0.5773295727507459,0.4870986803230254,0.57219656520956,0.5042032130803304,0.4896088019559902,0.5025352490300603
75,0.6022991224830572,0.48347547974413646,0.5870140922081402,0.5773295727507459,0.4870986803230254,0.57219656520956,0.5042032130803304,0.4896088019559902,0.5025352490300603
100,0.6022797659954818,0.48347547974413646,0.5870140922081402,0.5773295201394877,0.4870986803230254,0.57219656520956,0.5042031326141155,0.4896088019559902,0.5025352490300603
