n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5399443957270408,0.0,0.5,0.4175275989050562,0.0,0.5,,0.0,1.0
2,0.5425599113343254,0.1548731642189586,0.5405373086734694,0.4181423233257866,0.06983224655854652,0.49677418461860845,,0.0,0.657437619454916
3,0.5646731837266157,0.16784869976359337,0.5554714073129252,0.5236661509691973,0.0715272813914701,0.4955709784039078,,0.0,0.6086208170980243
5,0.5691908925028344,0.16382252559726962,0.551077983276644,0.5417714891986868,0.06992911357782691,0.49124502496350225,,0.0,0.5943548642569773
10,0.5703570653521826,0.16025303110173958,0.5470676551870748,0.5459508349337381,0.07078646987498433,0.49024360885935775,,0.0,0.5627606889050802
20,0.5706756660997732,0.16033755274261605,0.5471761621315192,0.5485766930260192,0.07068528715897908,0.4900786638826995,,0.0,0.5639644776718303
30,0.5703695215065193,0.16033755274261605,0.5471761621315192,0.5481846509794225,0.07075461829745393,0.49019972812711055,,0.0,0.5636371316036789
50,0.5707977364122733,0.16008425487098474,0.546850641298186,0.549564848242092,0.07080163838502047,0.4902636442894111,,0.0,0.5630669158720605
75,0.5710977913300737,0.16076150185087257,0.5477186968537415,0.5502832404727401,0.07071489914329403,0.49015486132551334,,0.0,0.564038394525929
100,0.5710939160820578,0.16076150185087257,0.5477186968537415,0.550286316285391,0.07065285756216194,0.49005284644180586,,0.0,0.5643235023917382
