n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.565216325950538,0.0,0.5,0.5577626235185771,0.0,0.5,0.5057266976782475,0.0,0.5
2,0.5628517731695544,0.0,0.5,0.5353261151320743,0.0,0.5,0.5033511379494101,0.0,0.5
3,0.5929771557247905,0.03928679359323058,0.5701304302015873,0.5181265526940423,0.04242798968083065,0.5566748925787947,0.4832975939076418,0.5179453112375891,0.5030250929259329
5,0.5931094726679751,0.04436396559529199,0.5839747029607141,0.5182579525893366,0.030367242890145783,0.4660891416912693,0.48332328054918705,0.4430748346980777,0.48145490286061665
10,0.44558588227222495,0.032657879205193786,0.5,0.45325680249142003,0.03666768838167471,0.5,0.4619194163908088,0.552271320140338,0.5
20,0.582038955088199,0.04365079365079365,0.5729715690094117,0.46132071190439605,0.030551258613415833,0.47119228978913863,0.4587502904249221,0.41625595863294823,0.4723110229575629
30,0.5977736449152313,0.04637336504161712,0.5763064460404155,0.5077614764702498,0.030253388081611814,0.4764646987203198,0.4655130489013307,0.36185001835838093,0.45393022699113356
50,0.597139013650698,0.044884488448844885,0.5626594235391842,0.5171460550933726,0.03076046710338935,0.48200598504327236,0.46679201870609405,0.337544281799345,0.45233701322650566
75,0.581959319890912,0.040345821325648415,0.5236296007703787,0.557816536516144,0.04325825974799087,0.5213076353233069,0.5179003163608453,0.19956122856003192,0.4923252773778048
100,0.5599015953992909,0.03976975405546834,0.5468941047901184,0.4050988861530685,0.024580523757252625,0.44497697640684714,0.43394517396538496,0.36433809340023154,0.45016173936109094
