n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.640752581594743,0.4442373407890649,0.618243085021684,0.6255828900312526,0.4219001610305958,0.6026550075409303,0.6741784569987314,0.4743059335873707,0.6454931997637341
2,0.6535970106550655,0.4434025452109846,0.6211363359619746,0.6397167227525407,0.41781408202695103,0.6037739067762129,0.7143628862457003,0.4875922199865862,0.6596201953359611
3,0.6494635213233297,0.43806857942617217,0.6190620340590836,0.6336736972563954,0.414239648505248,0.6039080834760697,0.7006400857525791,0.4937039241723522,0.6654586083241192
5,0.6520057332819016,0.43609022556390975,0.6210090337721215,0.6364472231209298,0.40407667237474454,0.6008316971562011,0.7084358777403488,0.4990044717172047,0.6698974147816577
10,0.6511101474746906,0.4335981838819523,0.6195527222657917,0.63533088967208,0.4024861647987986,0.6001368746562745,0.7056375682509203,0.49673009785120714,0.6678866069785201
20,0.6515780575303716,0.4311008468052348,0.6186405318251217,0.6360589376137504,0.40229754965763115,0.6010867070449751,0.7066450691920656,0.4992741652900836,0.6699652703138981
30,0.6517488936630758,0.4317656129529684,0.6191744346548067,0.6362368844979205,0.40217083262483705,0.6010974351595391,0.7070694813892369,0.499189573063748,0.6698823260359971
50,0.6516989733227404,0.4309349749903809,0.6185070561177004,0.636079178043911,0.40251928384403085,0.6012654943130451,0.7069228554784779,0.49931582284817944,0.6700002475786759
75,0.6517243060327613,0.4307692307692308,0.6183735804102792,0.6360892573912018,0.4025518431550061,0.6012538932624986,0.706987433153381,0.49931614237582145,0.6700040362552768
100,0.6517117461177089,0.4307692307692308,0.6183735804102792,0.6360695702042987,0.40257995162590704,0.6012689702784548,0.7069937927929726,0.49939959973315545,0.67007615574289
