n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5770326153086507,0.02722430459656737,0.5,0.5726142184476651,0.06920147273124062,0.5,,0.0,0.0
2,0.5820996417224362,0.0,0.5,0.5775984820092211,0.0,0.5,,0.0,1.0
3,0.5415531435255805,0.0,0.5,0.5303901430467596,0.0,0.5,,0.0,1.0
5,0.5649087847072205,0.03606202668589975,0.5932050705533463,0.5591950358385723,0.07980210265924552,0.5532223431181645,,0.0,0.4746201201676857
10,0.5,0.02722430459656737,0.5,0.5,0.06920147273124062,0.5,,0.0,0.0
20,0.6506837840459206,0.037813681677552426,0.6161536449378231,0.5716990885609288,0.07643418832062622,0.53953392871565,,0.0,0.4609666212605992
30,0.6579228130813928,0.0594059405940594,0.5660065424598592,0.5359976096872543,0.0620668123634093,0.5104631564095504,,0.0,0.9363575886210282
50,0.7018096103033455,0.05515587529976019,0.6758602041506118,0.57741993563701,0.08617157490396928,0.554407306469721,,0.0,0.7120199364315055
75,0.7376461840059486,0.1523809523809524,0.6032671151749212,0.6167073429616299,0.1784799316823228,0.5713677138064897,,0.0,0.983812208952387
100,0.7680512815991113,0.031848603738749134,0.5746298925167309,0.5903595015073985,0.07223272249157696,0.5221239689750836,,0.0,0.11071688788925144
