n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5,0.8859180035650623,0.5,0.5,0.8725685252478748,0.5,,0.0,0.0
2,0.5148595430001887,0.81750030723854,0.5105447135940644,0.5247589512527377,0.807780059839608,0.518396802094978,,0.0,0.18394737119988172
3,0.5148595430001885,0.8170641750676174,0.5101674500125755,0.5247589453259635,0.8075281211132727,0.5185146512898788,,0.0,0.18462318243735545
5,0.5507741271849849,0.7746868820039552,0.541830082054829,0.5422091914238665,0.7589933186169193,0.5398214919423225,,0.0,0.33470607490945187
10,0.5936022629920146,0.6287949921752739,0.5548869388204225,0.5834695889614894,0.630138093945467,0.5560765183027907,,0.0,0.5783993833222458
20,0.595076317278672,0.626157952582823,0.5559303084129779,0.582898422839782,0.6257442289613872,0.5559996608061507,,0.0,0.5848195900782462
30,0.6004202706473214,0.6316778944070186,0.5626031580105634,0.5894279188755298,0.6267713608697673,0.5592069459362692,,0.0,0.5905111878438454
50,0.6058915750361544,0.6286163522012579,0.5633950185487928,0.5929831989627232,0.6241957292055204,0.5603607815925942,,0.0,0.5952735451579181
75,0.6084573849346077,0.6298915605846299,0.5650003536846077,0.5952197815056681,0.6251667822246564,0.5616450427548376,,0.0,0.5962344642612011
100,0.6111623353401661,0.6304040245244459,0.5665909519617707,0.5969728357699974,0.6265858529399777,0.5630117100901659,,0.0,0.5969313945998458
