n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.543059591227602,0.0,0.5,0.5431025687943087,0.0,0.5,0.5549939352310179,0.0,0.5
2,0.6063610633419317,0.14550822437789962,0.5605004892222848,0.6002148495704267,0.13221187052016023,0.557606695722894,0.618353590308617,0.15978923029036418,0.5675536137869863
3,0.6294758897421452,0.1480525069937594,0.5691668890404324,0.6288586618825749,0.1337832876348496,0.5633613369461744,0.631505618086018,0.16057180103841226,0.5698855388204769
5,0.6350936070013146,0.13421256788207914,0.51754776094326,0.6325915444200724,0.12272205938575252,0.5184653240672825,0.6336294243044762,0.14614876872302615,0.5195531683903777
10,0.7148176905743173,0.1832476564862413,0.6498762119370237,0.7139657439829958,0.16956358634487934,0.650704342575236,0.6587493880680018,0.17770448167115124,0.6079945133922149
20,0.7268539795020804,0.22276502198339032,0.6694821656239808,0.7243324997627485,0.20148148148148148,0.6553131476299854,0.6695527673968539,0.19616270825948245,0.6161095304996309
30,0.7647075537897432,0.20229405630865485,0.6775617457823109,0.7534260971225145,0.18698046275215757,0.6745786426046985,0.7104174044021117,0.19118925707661097,0.6326911208980704
50,0.7762966243662347,0.19558359621451105,0.6754108973028533,0.7637395339449016,0.18092265331070415,0.6751511320097364,0.7229333031997949,0.18663829409939264,0.6293174059552668
75,0.7827297121000978,0.2051109616677875,0.6887557940720095,0.768740645363233,0.19031377024375856,0.6871078383128706,0.7272338197842677,0.19211583868899626,0.6376394492696185
100,0.78652674415157,0.21745454545454546,0.7035658868759945,0.7718964186577764,0.19981331067054905,0.6958234554612082,0.7289880902223678,0.2003342245989305,0.6499251817548805
