n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.8732205992939301,0.7554636739515652,0.8032900550630715,0.8652501760524077,0.7532747694956389,0.8017884989596745,0.8587732220063985,0.7160805193592079,0.7786474332856248
2,0.9507500083344295,0.8739630719828739,0.8881329876064159,0.9405591701346059,0.8644983378664249,0.880652089976981,0.972961315104782,0.9002294802006617,0.9093201978931384
3,0.9572287750819114,0.8991882691804137,0.9084872246743784,0.9448418336016681,0.8896469478880661,0.9006617105110184,0.9765644968459111,0.9404607251726754,0.9438614799310219
5,0.9734125949899156,0.9074844074844075,0.9153952761274513,0.9557958542608981,0.894795942786665,0.9048645598885614,0.9844780323536643,0.9421718922527798,0.9454000098882585
10,0.9415587337513522,0.8916439375154972,0.9048589970536355,0.9210074876326793,0.8811917075542589,0.8943295825096861,0.9666573693289234,0.9312203007887131,0.938751262721291
20,0.9476231602875846,0.8976963091404508,0.9099174620504273,0.9298408130245117,0.8862958801829457,0.8985851585565152,0.9700679746289708,0.936110599078341,0.9428417116507168
30,0.9543438307731442,0.9034329464065202,0.9148287812567795,0.9352005580709963,0.8890086587736349,0.9008706259662005,0.9736831214350055,0.9381827118019291,0.9446607357386094
50,0.9579786274023891,0.9080545229244114,0.9184734313987768,0.9392591113889557,0.8940676088786496,0.9050414362058166,0.9770799798323093,0.9433380982895451,0.9489793606544383
75,0.9625972151673807,0.913097301312206,0.9227107703328468,0.9452833742250573,0.8963354680981106,0.9069395766678972,0.9801464753293967,0.9449433911125895,0.9503976668157468
100,0.9643350463665255,0.9148514851485149,0.9241806680977251,0.9475754726044905,0.8972653100998379,0.9077129670206101,0.981190203009484,0.9455302787568087,0.9508889399058682
