n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5
2,0.5239191353082466,0.0016025641025641025,0.5012009607686149,0.4516236384488047,0.0009898756104839473,0.4871382386366585,0.43246455341045537,0.001825030505597114,0.5028642392855256
3,0.5,0.0015987210231814548,0.5,0.5,0.0010160757702217223,0.5,0.5,0.001814594828404739,0.5
5,0.5,0.0015987210231814548,0.5,0.5,0.0010160757702217223,0.5,0.5,0.001814594828404739,0.5
10,0.5,0.0015987210231814548,0.5,0.5,0.0010160757702217223,0.5,0.5,0.001814594828404739,0.5
20,0.9976481184947958,0.021108179419525065,0.9628702962369896,0.918276207428011,0.008419575513067884,0.8018676408774124,0.8568648463970878,0.009533121486189195,0.6841663706895387
30,0.997097678142514,0.018648018648018648,0.9578662930344275,0.9489320353082205,0.009237875288683603,0.8436967769053934,0.8663179052438954,0.011961722488038277,0.7719156213246092
50,0.9967974379503602,0.009195402298850575,0.9137309847878303,0.9494272533380382,0.006007099299171748,0.8921013165337333,0.8729510906501132,0.0066292134831460675,0.7497240960612715
75,0.9968975180144115,0.008705114254624592,0.9088270616493195,0.9448477709220925,0.005850848373014087,0.884064856281428,0.9054066111253808,0.007142464699741773,0.7825204101321266
100,0.8671687349879904,0.007455731593662628,0.8934147317854284,0.79658993373222,0.002690553532171802,0.6825516468347665,0.7530810911785707,0.0018031013342949874,0.49981829667108685
