n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6820727272727273,0.0,0.5,0.6987470236981776,0.0,0.5,0.6482979120486161,0.0,0.4999841232879612
2,0.8370727272727273,0.165,0.797979797979798,0.911547781317335,0.1819905213270142,0.8682835826075926,0.8097677756759658,0.03239352129574085,0.7086155583044602
3,0.8502565656565657,0.2767857142857143,0.7955555555555556,0.9424580135504729,0.3624242424242424,0.8623793123555388,0.8491136855169359,0.033341505270899734,0.6324193726453697
5,0.8848747474747475,0.47706422018348627,0.7566666666666666,0.9420936117375728,0.485414235705951,0.7566265857858869,0.8699244477348607,0.035348837209302326,0.575204757374887
10,0.8907656565656566,0.3013698630136986,0.8162626262626262,0.9379697975330467,0.36746372368689967,0.8634266657693553,0.8783604639208483,0.032907662082514735,0.6302089736030796
20,0.9364323232323232,0.49056603773584906,0.756969696969697,0.9541771547845499,0.4848006316620608,0.7525728648958944,0.8784734282695845,0.0315884476534296,0.5681131355988919
30,0.9369414141414141,0.1400359066427289,0.8427272727272728,0.9488851399834919,0.14529679107560942,0.8935679875557239,0.8978289438773182,0.024225083452551265,0.7311165377243494
50,0.9496686868686869,0.09009009009009009,0.8586868686868687,0.955416066754118,0.08445730172446181,0.8781988820436017,0.9276503216113994,0.021546905173289967,0.8734977996158643
75,0.9655070707070706,0.0,0.5,0.9666323549814322,0.0,0.5,0.9530547221138725,0.0,0.5
100,0.9730545454545454,0.2573099415204678,0.914949494949495,0.9714875302952184,0.24331168116261148,0.9344538271205485,0.9553693283946713,0.05509567105441715,0.918412946777559
