n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5286715571207979,0.6925680647534952,0.5278343482265903,0.5108496371531587,0.6818930196654233,0.512641676911854,0.5334648029885299,0.6492954743040861,0.5276594089686453
2,0.5532878441115858,0.7019693654266959,0.5346565503011269,0.5454429697042867,0.6937035813611516,0.5196324502917116,0.5374044314015279,0.6625286692649441,0.5323370555126449
3,0.557886207424304,0.6983659649639334,0.5363674161639448,0.547649415868449,0.6904579107586748,0.5207717066186461,0.5422320610360756,0.6599573338544465,0.537464211876654
5,0.5707542338403834,0.656199935917975,0.5423593277287669,0.5656544727682072,0.6530176960037501,0.5349502551519263,0.5467253340290749,0.6153625423698417,0.5357521482984091
10,0.5890063664324034,0.662674004532211,0.5585091995108533,0.5681823293049767,0.6453183408594755,0.5401188458732726,0.5609540738532531,0.6176199678520472,0.542316460463498
20,0.596274382454032,0.6469798657718121,0.5647561632259516,0.5708521425903348,0.6259133733403812,0.5442719200246224,0.5655368264783611,0.6048735666669792,0.5481868605237308
30,0.5984813471073307,0.6666666666666666,0.5599259496621719,0.5637553661258681,0.6458581441784129,0.5338340619744559,0.5618400559787691,0.6296650717703349,0.5411329419469831
50,0.607466134929759,0.6732321601549887,0.5703966714808498,0.5738753837198164,0.6468572792932609,0.5406280036253509,0.5702089762822291,0.633407509697167,0.5466884549153717
75,0.6090755874003732,0.6712880864098018,0.5668007145847476,0.5757682624218999,0.6450408177922482,0.5402514262491052,0.5680534001855798,0.6355246983049674,0.5405231816848349
100,0.610214674095999,0.6749116607773852,0.5688604526412114,0.5764720556068523,0.6474451118043171,0.540820014589827,0.5675452467131804,0.6375338169662089,0.5403587917251239
