n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.46127963037364406,0.0,0.5,0.43782056072794784,0.0,0.5,,0.0,1.0
2,0.5514719310420395,0.0,0.5,0.4837198167121234,0.0,0.5,,0.0,1.0
3,0.5,0.008761449621664676,0.5,0.5,0.017363646221129864,0.5,,0.0,0.0
5,0.5,0.008761449621664676,0.5,0.5,0.017363646221129864,0.5,,0.0,0.0
10,0.5,0.008761449621664676,0.5,0.5,0.017363646221129864,0.5,,0.0,0.0
20,0.5,0.008761449621664676,0.5,0.5,0.017363646221129864,0.5,,0.0,0.0
30,0.5,0.008761449621664676,0.5,0.5,0.017363646221129864,0.5,,0.0,0.0
50,0.830974469483911,0.0,0.5,0.511492382313315,0.0,0.5,,0.0,1.0
75,0.9159209613207202,0.008761449621664676,0.5,0.49777690842490463,0.017363646221129864,0.5,,0.0,0.0
100,0.5,0.0,0.5,0.5,0.0,0.5,,0.0,1.0
