n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5649742860269176,0.0,0.5,0.5609539428850969,0.0,0.5,0.4749126201438562,0.0,0.5
2,0.5804923952292372,0.9739094565329484,0.5566418645366014,0.5633004918076678,0.9721034794651134,0.553023077996767,0.43805280809560143,0.4121182324469573,0.4711268300480246
3,0.5971878761352446,0.0,0.5,0.579342514093522,0.0,0.5,0.44664267613673414,0.0,0.5
5,0.5782082284713864,0.8588942863752024,0.5622825254404202,0.6071395725804912,0.8630654377181644,0.598776567589719,0.46792267049944275,0.38401934972923224,0.4823274063433497
10,0.6127103621840464,0.20119447555057857,0.5323448955027902,0.6222814726522263,0.2097513222477532,0.5235661635613746,0.45615931431101275,0.11188811188811189,0.4923296535968352
20,0.6427935222672065,0.9631639361369091,0.5639402560455192,0.6408073584267946,0.960154853852866,0.5774595277625134,0.4691665471903628,0.4052985884907709,0.4660903043264174
30,0.6675927344348398,0.4249836921069798,0.5854469854469855,0.6505794407562573,0.44058305875973286,0.5601349163156921,0.48292712429610707,0.23022539394073713,0.498969737973986
50,0.7185846372688477,0.4275008145975888,0.5942772732246416,0.6934436712721626,0.43598415076906677,0.5770415516916485,0.48314802003557467,0.23396801218583396,0.4976797246989732
75,0.7378750410329358,0.8260608246183435,0.6650672940146625,0.704888988253824,0.8255883863096779,0.6590360984316551,0.4920820090695658,0.38810593520926934,0.5067097307457068
100,0.7344545355071671,0.3511111111111111,0.5725462304409673,0.7036830423977873,0.36716591717149194,0.567490949970322,0.48232601656810353,0.18544185589305023,0.4938357528361551
