n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5964887361915839,0.11277330264672036,0.5903744419014745,0.608014925144053,0.11741902136457616,0.5991549160149069,0.5844195065121063,0.10050304474450622,0.5767280782107065
2,0.6534268455440556,0.02247191011235955,0.5042235931629245,0.6526627262687791,0.03287671232876712,0.5074145031245841,0.6305552265878599,0.02275960170697013,0.5040767276256529
3,0.8381273081025454,0.187984496124031,0.7343531416994067,0.8380180919572728,0.18428417653390744,0.7325912142003176,0.8477707204210785,0.17021463371812315,0.7258721987764583
5,0.8459246077900638,0.29844961240310075,0.7205943045810979,0.8478375964759259,0.3175552476114069,0.7366328981615651,0.8551063874258006,0.30112008335504037,0.7520156704943239
10,0.848565693489342,0.05975941016686069,0.5,0.8478388755134273,0.058055418458718186,0.5000074851419931,0.8591874352515241,0.061411858629901436,0.5
20,0.8919158122109009,0.23386342376052385,0.8243336317005323,0.8891664061896645,0.22779310344827586,0.8203769258609467,0.907978011871917,0.2121691191373789,0.8322855748574169
30,0.9017974390446533,0.3303030303030303,0.8129344860669665,0.897056257647249,0.3159507461839641,0.7979824282464598,0.9137063608902848,0.31524585394239163,0.8143787363278481
50,0.9042067095100526,0.1540130151843818,0.801319604868924,0.9004479978386939,0.14723206074007397,0.7951171933427958,0.9170079552022334,0.14372648536727015,0.7902731813175429
75,0.8966238054145605,0.19368723098995697,0.824300132389278,0.8936980133298653,0.1866624625571496,0.817649084311145,0.9120980669058498,0.18555035838072484,0.8288580222680233
100,0.89983839932251,0.1762114537444934,0.8209301016771096,0.9001877805226046,0.16861035671086563,0.813872630183955,0.9131883767170842,0.16423717985945757,0.8153372155156432
