n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5121318090613625,0.20776166209329675,0.510780867933271,0.5169204837428857,0.20229527899511923,0.5159296712527697,0.5168451463384728,0.22308209348375024,0.516218456853632
2,0.5339972788812601,0.2748710390567428,0.5297850795420165,0.5263200469549829,0.2570134027890824,0.5224947260666473,0.5154685903786297,0.2218355176101655,0.5146048153887947
3,0.5352886544062768,0.2766740250183959,0.5303989596099651,0.5280321998726933,0.2575837634976764,0.5224427689382926,0.5170409930370371,0.2232076598671469,0.514807463477615
5,0.5227349926319205,0.36777682892115,0.5147781755005156,0.5359558300075443,0.37552058036314034,0.5175870007703021,0.5189644726179574,0.3396158892997734,0.5110275103553318
10,0.5235433468005594,0.36659994280812125,0.5152756242196779,0.5366452958010887,0.37489351976896385,0.518705239584343,0.519615448321009,0.33792844821120527,0.5122689827918647
18,0.5240632380840529,0.35765124555160144,0.5196101608456898,0.5370501458132467,0.3596936857593951,0.5176987676867643,0.5204386749107913,0.3196195669010812,0.5126080329835682
20,0.5240632380840529,0.35765124555160144,0.5196101608456898,0.5370501458132467,0.3596936857593951,0.5176987676867643,0.5204386749107913,0.3196195669010812,0.5126080329835682
30,0.5240632380840529,0.35765124555160144,0.5196101608456898,0.5370501458132467,0.3596936857593951,0.5176987676867643,0.5204386749107913,0.3196195669010812,0.5126080329835682
50,0.5240632380840529,0.35765124555160144,0.5196101608456898,0.5370501458132467,0.3596936857593951,0.5176987676867643,0.5204386749107913,0.3196195669010812,0.5126080329835682
75,0.5240633224545956,0.35765124555160144,0.5196101608456898,0.5370501241609008,0.3596936857593951,0.5176987676867643,0.520438676483471,0.3196195669010812,0.5126080329835682
100,0.5240634068251382,0.35765124555160144,0.5196101608456898,0.5370501503477695,0.3596936857593951,0.5176987676867643,0.5204386630033595,0.3196195669010812,0.5126080329835682
