n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6056957045164013,0.3722466960352423,0.594857665305582,0.6042293751022847,0.37080995743001327,0.5973007193043045,0.62162309968294,0.42236175674738086,0.6134482559350012
2,0.6881390374774016,0.5502156500308072,0.6662223490913002,0.6874857493602907,0.5423900258762644,0.6651768950671988,0.7107464247110563,0.5928452750290394,0.6852533094282904
3,0.7414644277032421,0.5703766638346077,0.6651611995747128,0.7398158080653088,0.5701779732665532,0.6699699223708456,0.7626613340927867,0.606544641761956,0.6788116098101877
5,0.7416844352326464,0.6365234865611655,0.6965819815570973,0.7399928480117818,0.6220898599696457,0.6937050836339378,0.7679000955166112,0.6731605412101926,0.7100031910371336
10,0.778768073672322,0.6575272911906576,0.7152722789685544,0.7819253384546941,0.6442824663602744,0.7137774128098726,0.812021230613567,0.6972333196430571,0.7353219811180893
20,0.7845157393502373,0.672736220472441,0.7239083398491637,0.784942293035796,0.6623281220568845,0.724694034262249,0.8161706062804149,0.7160443365151115,0.7461196172496729
30,0.7929446175104149,0.6826202562243171,0.7301730521804244,0.7932155143772979,0.6742423544795705,0.7324822015520764,0.8232850219138675,0.7308540591271704,0.7557197048274273
50,0.8029387842908502,0.6939459200765733,0.738787186774726,0.802622492082681,0.6892710803419735,0.7439770746778898,0.8333346625824554,0.7509513156984386,0.7717744549094523
75,0.8093464725569773,0.698450536352801,0.742285463699585,0.8084751069933684,0.6924131668558456,0.7465834960935736,0.8356958753432231,0.7526551887173218,0.7733604027472152
100,0.8100690471166935,0.7006187529747739,0.7439969551421279,0.8089891748659217,0.6928735798800486,0.7468097868672192,0.8361894166083705,0.7536335285791551,0.7739961784060669
