n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.7449379284740513,0.602357984994641,0.717409149238188,0.7427539946603885,0.600298656047785,0.7163735984748404,0.7610209463908736,0.6367857749589444,0.7361526951423709
2,0.8294292221112409,0.6259863229879011,0.7303000925601876,0.8287503068431812,0.624055600023427,0.7293432531509693,0.8484093913398726,0.6558169244869053,0.7473627829072044
3,0.8423475205024646,0.6259863229879011,0.7303000925601876,0.8407432038672866,0.6257415728151563,0.730434786461547,0.8600153586124414,0.6564293039886908,0.7478428849457617
5,0.8586809449484021,0.6304801670146137,0.7330877550620715,0.8608007442023604,0.6288990117356393,0.7325558899800171,0.8800493732720507,0.6579280718180316,0.7491798829856434
10,0.8725437915275496,0.6158940397350994,0.7316729551393895,0.871091564463916,0.609814398200225,0.7287489922792049,0.8992786286261729,0.641669632416493,0.7472786929002477
20,0.8961416366718865,0.6663598711458812,0.7626484730975135,0.8936270249160232,0.6626948223766196,0.7610111014752966,0.9203517180378865,0.7018796806030848,0.7840359769766289
30,0.8987365364097035,0.6869983948635634,0.7903200947571083,0.888499334987674,0.6571245335820896,0.7740335071568495,0.9208477979367661,0.7042919748649338,0.7939630713815405
50,0.90426779527083,0.6998407643312102,0.7998911757868681,0.8938824531488123,0.6687309189298685,0.7827015354467166,0.9241451519441838,0.7155120965890832,0.802272765017386
75,0.9062474720509958,0.696969696969697,0.7977640796647738,0.8960685074541366,0.6724415618334567,0.784868936555748,0.9254404239414363,0.7173271889400922,0.8028635491812781
100,0.9065866961973688,0.699122106943336,0.799095430660328,0.8966307070830983,0.67344445414085,0.7852523162224081,0.9257004496203447,0.716339386667282,0.8020492484586645
