n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5527187042097342,0.22063718497384688,0.5490039998415904,0.5806701699762978,0.2777344359494461,0.5682208716275008,0.5575567273748119,0.016173112200965893,0.5457760637037091
2,0.6039414280622549,0.22605694564279552,0.562104471110055,0.5840756462504875,0.2521944055466375,0.5483840421903787,0.7672467776749169,0.02875718069553851,0.6984500660056748
3,0.6138297493168587,0.22916666666666666,0.5656647261494594,0.5939131588991837,0.2572260070110457,0.5526028052662348,0.8559636289826507,0.03368271451412329,0.7573762408843256
5,0.6452158330363154,0.24561403508771928,0.5837174765355827,0.6142718427772128,0.2604366400914993,0.5564925605660832,0.9005419422662775,0.03781125115278205,0.7887337643725476
10,0.6782846223911925,0.27308882015024305,0.6148449566353809,0.5980603752871162,0.2668010075566751,0.5631356377471048,0.9348257867929293,0.04396526408524563,0.8336957851910669
20,0.7040487505445329,0.2989916703200351,0.6444952675141579,0.6299260910170698,0.29332977053341797,0.5910492700823533,0.9518960648461542,0.04318828792191948,0.8351454147502253
30,0.7261296582313571,0.31431159420289856,0.6586749039641995,0.6614466200226377,0.3126747919759693,0.610573242601273,0.9617617482783029,0.043251546141719555,0.8378893155778677
50,0.7451239554869113,0.3297199638663053,0.675818779454279,0.6852255252827121,0.3273058592654892,0.6249063008424094,0.9609101998587597,0.041236318791429014,0.8296560884797228
75,0.7549019840798383,0.3364140480591497,0.680472060512455,0.6982851059730278,0.3409935423355821,0.6371083618501496,0.9675302443002769,0.04180804180804181,0.8326863882759936
100,0.7643519068551741,0.34096216721158334,0.6840580571066492,0.714579333174756,0.3568064671635703,0.6507006460489682,0.9695759984095214,0.042522808409361366,0.8356214758519245
