n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.9324233908738123,0.0,0.5,0.9549975748763732,0.0,0.5,0.9601384524697445,0.0,0.5
2,0.9770773490065856,0.9537996545768567,0.9405874091713989,0.9798579202242693,0.9525629205327893,0.9412093878103507,0.9755361873156674,0.965024832018697,0.9431709707056213
3,0.9873057570360092,0.0,0.5,0.9868637455496029,0.0,0.5,0.9808684468144255,0.0,0.5
5,0.9838863273480323,0.9736758642562638,0.9347443677497892,0.9851365916720564,0.9758261289247587,0.9405184005436051,0.9753378303403848,0.972529725297253,0.9217615447532121
10,0.9885620596607334,0.0,0.5,0.9893490376890507,0.0,0.5,0.9845691977548987,0.0,0.5
20,0.9934794386003204,0.9771072897985019,0.9562976878575169,0.9924546179504578,0.980388863225969,0.9614954948691463,0.9888475173285431,0.9826311835910845,0.949653074017295
30,0.9948032983465395,0.9838431053754699,0.5,0.9937958762813494,0.9839605728156056,0.5,0.9927502695428593,0.9647757212668496,0.5006199628022319
50,0.9968741839554435,0.9761099365750529,0.9705749760626929,0.9963505414284918,0.9783244517946833,0.9707631228818495,0.9949999503672879,0.9848896444385736,0.9760427904790647
75,0.9958400403264049,0.9692324071116789,0.9701507952902293,0.9958093403977593,0.9717095654117547,0.9672496209541497,0.9940172762372759,0.9808915727971669,0.9742617813779568
100,0.9979252168648559,0.9729500371274,0.9736624664325553,0.9969156603504993,0.9711524742701356,0.9677259706045659,0.9973224284703576,0.9835329599806608,0.9800550472790395
