n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5335971051473607,0.24663885025498378,0.527586374548328,0.5441359460071131,0.25421107201740517,0.5328979810363861,0.5330862751398128,0.24687455772043213,0.5217505191434462
2,0.6673017184090438,0.3668818837827573,0.6178434790019117,0.6832132725756688,0.37713030665295116,0.6239969592100011,0.6835508196831794,0.38921552466252723,0.6306054430220982
3,0.7623196623764483,0.4810352521195895,0.7037833241694684,0.7798529321447206,0.4973471512867556,0.71096099848336,0.7919111805829966,0.5072827724761426,0.7222314022601075
5,0.7656806566516959,0.48727272727272725,0.7067238185920752,0.784994387590493,0.5139017219655607,0.7214139863917957,0.7950063025113487,0.5195936139332366,0.7276948455867562
10,0.802739954642283,0.5091764705882353,0.7192643833756838,0.8202310113419026,0.532547492501184,0.7297470001287225,0.8151570235156603,0.5385272753169065,0.7365330173393738
20,0.8446719431955094,0.5669366364935684,0.7593021423231531,0.8565137833135652,0.5949096561103555,0.7721930882784953,0.8582497767794597,0.5943741348625667,0.7710756689671382
30,0.8518974663210893,0.5848064978499761,0.7716407196816055,0.867564912254725,0.6154146272256509,0.7857074149741716,0.8693391099090839,0.6154674498286833,0.7876674781451147
50,0.8697970483887576,0.6267942583732058,0.8013683794490154,0.8774882092951355,0.6520490267791832,0.8098224418466976,0.8869315716491301,0.6590689679530952,0.8267783919500699
75,0.8912596121568296,0.6449704142011834,0.8082299428125663,0.8953478568262437,0.6801891672208675,0.8216610523588608,0.9066875872707844,0.6854115531361636,0.8390713675296892
100,0.9039296455537227,0.6643529995042142,0.8204940893754068,0.9057511147626471,0.6883902871060595,0.8273574687081897,0.9162337364972784,0.6963225695214168,0.8437895517797294
