n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5,0.032657879205193786,0.5,0.5,0.03666768838167471,0.5,0.5,0.552271320140338,0.5
2,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5
3,0.5729495161855476,0.036329762459245456,0.5496029266547582,0.5313055568268571,0.0387028230294445,0.5253780443430758,0.4875250418763617,0.5309400015119317,0.49933941618334976
5,0.6043037310927666,0.03650190114068441,0.5483373395963353,0.5541796337981901,0.03969580631532541,0.534787013926116,0.5083849387673328,0.5224594439287451,0.5040204603279616
10,0.6713296137570414,0.03680078508341511,0.55339356204562,0.5854898182328587,0.040042018302887866,0.5394408482051539,0.49040292986025175,0.5256538368767444,0.5001807119384332
20,0.6756887219408443,0.06046511627906977,0.580258802139614,0.6316252354843896,0.06085343228200371,0.5659761282297725,0.5350810676881401,0.2735506909442595,0.5139721502554404
30,0.6820080811347894,0.04276220745449292,0.6098059106468583,0.6592432088726152,0.047092362763380705,0.5995316978850431,0.5078820958815624,0.512529086206417,0.5061510244093036
50,0.7104464226644222,0.03489594282110574,0.5331502948952613,0.6722350789899425,0.03821752839721916,0.5207927740362898,0.5005112333985222,0.5518266779949023,0.5081148694039492
75,0.7557380222537495,0.0723055934515689,0.6840320403027608,0.6652026168950995,0.0631411162814613,0.6088733851864006,0.5087237564620949,0.37026623823731925,0.502098991557717
100,0.7422269921663469,0.05126327352618089,0.6595350284603944,0.6749213168577415,0.05480868665977249,0.6365867431087828,0.5318657915392584,0.5019572916882418,0.526409156372103
