n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.621318307797733,0.1505455890512299,0.5,0.5829596337933822,0.12524248715243508,0.5,0.5283646254684455,0.08916464891041162,0.5
2,0.6967928976420159,0.17636837532580366,0.5860782699450238,0.6665822763879704,0.1446023709946228,0.5765128309332864,0.6358739598650336,0.10070991487858519,0.562930595246007
3,0.7856116909023505,0.15384615384615385,0.512627912040061,0.7600807734336543,0.12724845953291516,0.5090106213282496,0.7839813341093986,0.08978878605317431,0.5038158215369619
5,0.8281769983272269,0.1745110681280894,0.5807440657212048,0.8076645667313409,0.14328558185911366,0.5719647237084489,0.8340952929970817,0.0996718205501235,0.5578686781418223
10,0.8926616777694505,0.24521793665725933,0.7200565864837583,0.8935136403464998,0.2053874768227937,0.717281122234082,0.9244931669910457,0.15947916087029101,0.7361232045451972
20,0.9128710980441875,0.5141955835962145,0.8422505992721538,0.9142780605038492,0.44191165385195236,0.8335330167853863,0.9402825284877543,0.46081992734820965,0.8606689647838448
30,0.9256375608433087,0.5526090675791274,0.8490157814129075,0.9268585163464254,0.48161058083851843,0.8468622678117426,0.9506128064327308,0.5114547537227949,0.871062001504436
50,0.941225591127616,0.6113138686131386,0.8730110075635875,0.9433333847850616,0.5357845894263217,0.8689488179353113,0.9624462282394447,0.5691171850455545,0.8839602044693844
75,0.9480477449125391,0.655609756097561,0.8820775231617818,0.9509075793047336,0.5775562603836278,0.8781623867286681,0.9686342314836508,0.6148303309593632,0.8938337066600687
100,0.950110492892988,0.6583011583011583,0.8875668614401468,0.9531407271017255,0.5860161352285824,0.8787057106343532,0.9697131720924583,0.6192876344086021,0.8960230524878876
