n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5208563584177425,0.18851756640959727,0.5184650613686305,0.49823288648333847,0.1795410346168806,0.49926175224860025,0.5391614181236953,0.22828427853553482,0.5331332715245516
2,0.5407673322786046,0.2477388910735352,0.5258888738909417,0.5410984253456999,0.2972991834740736,0.5324690774534986,0.5389171226955279,0.33849969001859886,0.5448457728200575
3,0.5457125722613654,0.2676864244741874,0.5294196342617367,0.545926511187202,0.3146604727421779,0.5368045114732626,0.5373783672696912,0.35684273709483794,0.5450771333041938
5,0.5497750365032523,0.27989437947944174,0.5326838575115848,0.5582002902576267,0.3505564387917329,0.550424619217305,0.5290738314535351,0.35877862595419846,0.5382429163981777
10,0.5779667328784159,0.31801604668125455,0.5460382922713143,0.6014793042863463,0.3659607438016529,0.5533097153942035,0.5267523409231214,0.3821222435992304,0.5571578681152302
20,0.5851635777366819,0.31443298969072164,0.546321616434583,0.6082901571918516,0.35647451416606685,0.5508300974724177,0.5474605627034589,0.3856929955290611,0.5620444606413995
30,0.5855317792414862,0.32703954399714996,0.5455441023009211,0.5964505623942921,0.3621607912756784,0.5459103891247689,0.5479566972674317,0.38869764773379234,0.5504661568756449
50,0.5875729465507424,0.3283582089552239,0.5457148847620934,0.5981686652357414,0.36332530731212775,0.5464995036884076,0.5516836308222939,0.39106145251396646,0.5516612612145764
57,0.5875730321989175,0.3283582089552239,0.5457148847620934,0.5981836857499561,0.3632792701469843,0.5464345222081295,0.5516814381179402,0.3910054425665998,0.5515701533428562
75,0.5875727752543922,0.3283582089552239,0.5457148847620934,0.5981835147633668,0.3632792701469843,0.5464345222081295,0.5516817599827994,0.3910054425665998,0.5515701533428562
100,0.587572603958042,0.3283582089552239,0.5457148847620934,0.5981834555757013,0.3632792701469843,0.5464345222081295,0.551681860565568,0.3910054425665998,0.5515701533428562
