n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5063460769285901,0.0,0.4996757457846952,0.5066883034403309,0.0,0.49936691506177616,0.48547593073847256,0.0,0.4991744868503744
2,0.5249765334739013,0.13999625678457794,0.5033506268914829,0.5098481264656431,0.18215132142359244,0.5032299429013839,0.5170840953038369,0.017370489233474205,0.505901087547001
3,0.5379585509477933,0.0,0.49989191526156507,0.6311929963194829,0.00014552863275849522,0.49994370087783213,0.6819215023378066,0.0,0.4998402232613628
5,0.544788697226326,0.010498687664041995,0.5021333730992692,0.6232279807135087,0.0070605187319884724,0.50133421697745,0.6697020501563864,0.002068252326783868,0.49983217596952656
10,0.6019721707808227,0.153987167736022,0.5438818258113292,0.5820956006257979,0.1579657319978188,0.5262158206651094,0.5724566660803856,0.020119291373631266,0.5140457587589478
20,0.6290612695968614,0.17845117845117844,0.5651872351345915,0.590719262260625,0.1805595920631985,0.5410124604091437,0.6060835447885374,0.025208288827173683,0.5384452515262576
30,0.6519795690944695,0.16512846096283362,0.5854013931949387,0.6008491188910647,0.19619825277668027,0.5483143384837361,0.6120735812150357,0.019884892086330937,0.559239440641123
50,0.6666603087408765,0.14974567650050866,0.5409409961366931,0.58553421689468,0.1871743486973948,0.5212079164436552,0.5643899152559766,0.01861777792951191,0.5395022525922152
75,0.6712790528308954,0.1907356948228883,0.6276821776936219,0.577336120789019,0.202273664369441,0.5605363543925329,0.559896226956752,0.018756617758281652,0.5248465428860252
100,0.674122779638916,0.2056932966023875,0.6286913539145171,0.5759980921628032,0.20122622229209244,0.5578805598978606,0.5801351464399275,0.018896543007015106,0.5197335898247938
