n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6307333517701946,0.3568281938325991,0.6206462119931784,0.634816246534595,0.3635552581688413,0.6272240061565868,0.642818211844141,0.3988483954778457,0.6381620772681306
2,0.7386941388705374,0.43271767810026385,0.6918400243776279,0.7523592192759281,0.42383143618309516,0.6902288518251931,0.764412312908476,0.46985962014863747,0.7066806406657855
3,0.7419895678092396,0.4385593220338983,0.6958609246086007,0.7557397963104657,0.4263352313312517,0.6908761585260715,0.7679949648022742,0.46872963320211686,0.7047210684448091
5,0.8029211542499527,0.4797195793690536,0.7351051925371682,0.8091037553226605,0.4638914095583787,0.7297555786858496,0.8290401621139513,0.5088242483500367,0.7438204613030208
10,0.818697474149984,0.4803580308304326,0.7366659240708591,0.8204398635120478,0.46334256003590935,0.7309217799766619,0.8347796239624206,0.5025351014040562,0.7392115661342276
20,0.8182855255273709,0.46161092793217146,0.7291465013494758,0.8131666572598346,0.44749005697086963,0.7241047142857638,0.8206258221385268,0.4802539804704411,0.7231155419368707
30,0.8241429100025095,0.46270783847980995,0.7288545843768085,0.8172550870358108,0.45090526086403837,0.7250276984361785,0.8271523651809249,0.4865576969992681,0.7263529667867026
50,0.8335886006422174,0.48096385542168674,0.741971643082848,0.825334475596807,0.4618177151134009,0.7326741614693779,0.8342462445394344,0.4917638984214139,0.7298706576139777
75,0.838763085050266,0.48216833095577744,0.7450931061502297,0.8299126200363558,0.4677717056928812,0.7396713264946266,0.8406093436370846,0.4992542699061823,0.738456441034054
100,0.8403678281889368,0.4864864864864865,0.7491914668059674,0.830591019357749,0.46946344976593446,0.741895411924745,0.8416192982688316,0.5018457260654873,0.7410646120170075
