n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.9189860195733768,0.5269709543568465,0.8791273178913344,0.9151433363811609,0.5150480918399007,0.8621996738371859,0.8935984572888594,0.6249093426518099,0.8447232975254451
2,0.9680363873049775,0.671875,0.8957450706036878,0.9624712791298945,0.6783294569723936,0.8774953925099873,0.9777421207507752,0.8075435966227412,0.8902886789919666
3,0.9892324341740297,0.48589341692789967,0.9539572233503395,0.9829200811362748,0.4693062528525787,0.9389834141051419,0.9931021454489679,0.7696774990732732,0.9628599549208523
5,0.9952320262329499,0.8285714285714286,0.9512237582806193,0.9921619063840474,0.8191660413763533,0.9350485222007663,0.996540843222332,0.8977166093212386,0.9414465017989979
10,0.9958699213609121,0.43490304709141275,0.9517772070067129,0.9946202972548881,0.4418953133881052,0.951496737644122,0.9975570905626001,0.69496223031357,0.9640318252255249
20,0.9967819425010945,0.4683357879234168,0.9627143152241273,0.9953208753037328,0.4708397281297961,0.9579105824422388,0.9959787993010281,0.7284450784593438,0.9680802817651517
30,0.9982604041215041,0.6474226804123712,0.976255620557632,0.997721789599552,0.6600061481709192,0.9774068851892725,0.9976667128195857,0.8562740725724711,0.9796166425529431
50,0.9991802203141665,0.6666666666666666,0.9835777731873581,0.9989114983977125,0.6634527089072544,0.9820654607963559,0.9990140380979853,0.8697532950321054,0.9877890971115609
75,0.998757988304823,0.6502057613168725,0.9794002746456825,0.9987251735496124,0.6769206623244134,0.9806715251616078,0.9985322864163374,0.8613414223120998,0.9838202144896089
100,0.9992698634176888,0.7930174563591023,0.9914273910349101,0.9986300003637307,0.7825369164450151,0.9819887940346581,0.9988880709424202,0.9101139601139601,0.988324514821624
