base_model,sae_config,target_group,target,dense_baseline_roc_auc,sparse_baseline_roc_auc,n_nonzero,max_roc_auc,n_at_max_roc_auc,n_features_50pct,n_features_60pct,n_features_70pct,n_features_80pct,n_features_90pct,n_features_100pct
dinov3,D_32_128_512_2048_K_20_40_80_160,modality,mri,0.9999988773533854,0.9996434864088262,1046,0.9989114983977125,50.0,1.0,1.0,1.0,1.0,1.0,
dinov3,D_32_128_512_2048_K_20_40_80_160,modality,ct,0.9999988773533854,0.9996434864088262,1046,0.9989114983977125,50.0,1.0,1.0,1.0,1.0,1.0,
dinov3,D_32_128_512_2048_K_20_40_80_160,sex,f,0.7794585532718565,0.6806066301524223,365,0.646024352881094,100.0,1.0,1.0,2.0,30.0,,
dinov3,D_32_128_512_2048_K_20_40_80_160,sex,m,0.7794585541787611,0.6806066276584348,365,0.6460243486866606,100.0,1.0,1.0,2.0,30.0,,
dinov3,D_32_128_512_2048_K_20_40_80_160,slice_orientation,x,0.997039143561166,0.9932756372569088,712,0.9802141172296144,100.0,1.0,1.0,1.0,2.0,3.0,
dinov3,D_32_128_512_2048_K_20_40_80_160,slice_orientation,y,0.9942353283582572,0.979894309590775,712,0.9389192687100074,100.0,1.0,2.0,5.0,10.0,30.0,
dinov3,D_32_128_512_2048_K_20_40_80_160,slice_orientation,z,0.9990998532053704,0.9916091751719758,712,0.9824391129156171,100.0,1.0,1.0,1.0,3.0,5.0,
dinov3,D_32_128_512_2048_K_20_40_80_160,age_group,<40,0.9079896107759272,0.8228947675729641,516,0.7719332734832045,100.0,1.0,2.0,5.0,20.0,,
dinov3,D_32_128_512_2048_K_20_40_80_160,age_group,>=80,0.907989515418022,0.8228947609965569,516,0.7719332734832045,100.0,1.0,2.0,5.0,20.0,,
dinov3,D_32_128_512_2048_K_20_40_80_160,kvp,80.0,0.8741140917406829,0.7851164471473926,533,0.7374466175311258,100.0,1.0,1.0,5.0,20.0,,
dinov3,D_32_128_512_2048_K_20_40_80_160,kvp,120.0,0.8741140941833413,0.7851164471473926,533,0.7374466138671382,100.0,1.0,1.0,5.0,20.0,,
dinov3,D_32_128_512_2048_K_20_40_80_160,institute,B,0.342489243133592,0.5,1533,0.8017548572199495,100.0,1.0,1.0,1.0,1.0,1.0,1.0
dinov3,D_32_128_512_2048_K_20_40_80_160,institute,C,0.518766425902744,0.5,1533,0.6821202460514961,100.0,1.0,1.0,1.0,1.0,1.0,1.0
dinov3,D_32_128_512_2048_K_20_40_80_160,institute,F,0.2547690435704865,0.5,1533,0.5975802945680255,100.0,1.0,1.0,1.0,1.0,1.0,1.0
dinov3,D_32_128_512_2048_K_20_40_80_160,institute,G,0.4044737323000989,0.5,1533,0.6273135894479209,50.0,1.0,1.0,1.0,1.0,1.0,1.0
dinov3,D_32_128_512_2048_K_20_40_80_160,institute,H,,,1533,,,,,,,,
dinov3,D_32_128_512_2048_K_20_40_80_160,institute,I,,,1533,0.6326569096765684,100.0,,,,,,
dinov3,D_32_128_512_2048_K_20_40_80_160,institute,J,,,1533,0.6058238409178316,10.0,,,,,,
dinov3,D_32_128_512_2048_K_20_40_80_160,manufacturer,ge,0.9940383437917618,0.9897115304003328,1539,0.9898093017654434,100.0,1.0,1.0,1.0,1.0,1.0,
dinov3,D_32_128_512_2048_K_20_40_80_160,manufacturer,philips,0.8243538605135607,0.6986663277441421,1539,0.6783466600766386,100.0,1.0,2.0,20.0,100.0,,
dinov3,D_32_128_512_2048_K_20_40_80_160,manufacturer,siemens,0.8360573738971662,0.728251745467814,1539,0.6547023243918949,100.0,1.0,1.0,3.0,,,
dinov3,D_32_128_512_2048_K_20_40_80_160,scanner_model,Achieva,0.95399687602165,0.5,1484,0.9831668422390933,3.0,1.0,1.0,1.0,1.0,1.0,1.0
dinov3,D_32_128_512_2048_K_20_40_80_160,scanner_model,Avanto_fit,0.9860195897387332,0.9931861516216492,1484,0.9905121473887948,100.0,1.0,1.0,1.0,1.0,1.0,10.0
dinov3,D_32_128_512_2048_K_20_40_80_160,scanner_model,Skyra,0.9919789612498288,0.9881482057495706,1484,0.9861889611278495,20.0,1.0,1.0,1.0,1.0,2.0,
dinov3,D_32_128_512_2048_K_20_40_80_160,organs_abdominal,gallbladder,0.9046499632540534,0.8862022758928397,1206,0.8495129101847618,100.0,1.0,2.0,2.0,5.0,30.0,
dinov3,D_32_128_512_2048_K_20_40_80_160,organs_abdominal,kidney_left,0.9450146209106866,0.924807693554726,1206,0.889267530422376,100.0,1.0,1.0,2.0,5.0,30.0,
dinov3,D_32_128_512_2048_K_20_40_80_160,organs_abdominal,liver,0.9507727124345676,0.9248845243534742,1206,0.8971170322379383,100.0,1.0,1.0,2.0,5.0,30.0,
dinov3,D_32_128_512_2048_K_20_40_80_160,organs_abdominal,spleen,0.932144860489393,0.9044726795156388,1206,0.8718434002639672,100.0,1.0,1.0,2.0,5.0,30.0,
dinov3,D_32_128_512_2048_K_20_40_80_160,organs_abdominal,prostate,0.955297877507173,0.9439665288449066,1206,0.9213903869970405,75.0,1.0,1.0,1.0,20.0,20.0,
dinov3,D_32_128_512_2048_K_20_40_80_160,organs_head_and_neck,brain,0.9812913955231076,0.9762776367671512,589,0.9658677281792516,100.0,1.0,1.0,1.0,5.0,10.0,
dinov3,D_32_128_512_2048_K_20_40_80_160,organs_thoracic,heart,0.969656777757568,0.9467455536678344,931,0.9126161893416378,100.0,1.0,1.0,1.0,3.0,20.0,
dinov3,D_32_128_512_2048_K_20_40_80_160,organs_thoracic,sternum,0.9665183760696462,0.9425705874860592,931,0.9023186963399488,100.0,1.0,1.0,1.0,5.0,30.0,
dinov3,D_32_128_512_2048_K_20_40_80_160,organs_thoracic,clavicula_left,0.9412795980316572,0.9128624218775696,931,0.879524338733636,100.0,1.0,1.0,2.0,5.0,30.0,
dinov3,D_32_128_512_2048_K_20_40_80_160,organs_thoracic,clavicula_right,0.9462643461384276,0.9189034964187828,931,0.8882815856589142,100.0,1.0,1.0,2.0,5.0,30.0,
dinov3,D_32_128_512_2048_K_20_40_80_160,pathology,inflammation,0.6725498724671937,0.6467936835012049,848,0.6355508906829692,2.0,1.0,1.0,1.0,1.0,1.0,
dinov3,D_32_128_512_2048_K_20_40_80_160,pathology,tumor,0.7311028113872937,0.707834086371653,848,0.6166535574846101,100.0,1.0,1.0,1.0,20.0,,
dinov3,D_32_128_512_2048_K_20_40_80_160,pathology,trauma,0.7579848728309351,0.7201963174502933,848,0.6788385260511164,100.0,1.0,2.0,5.0,10.0,,
