n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6385622728452751,0.3108781127129751,0.6195158359293873,0.6409231735240731,0.3054219354590931,0.6246084982662665,0.6754875197932915,0.35099299403624573,0.6480084014550209
2,0.6413090602284528,0.3136327817178881,0.6236954828660437,0.6428965153236109,0.31123048191147307,0.6336568257021435,0.6746932559824605,0.3564710118833273,0.6559372081296604
3,0.6418944704049845,0.31424067262217553,0.6246235721703012,0.6431529140922636,0.311285695030135,0.6337377901473201,0.6747861373527567,0.3567837024017058,0.6563591488678778
5,0.7018146417445482,0.3139227104287983,0.6238382658359294,0.7025126785098688,0.31015481500918396,0.6314746135304252,0.7399919476835094,0.35427274578835577,0.6522636864288294
10,0.7469491497923157,0.3251366120218579,0.6392458463136033,0.7490119079110109,0.3207577622208324,0.6455769995017168,0.7797433525003719,0.36843446838498795,0.6694729049268213
20,0.7932225142782969,0.3665144596651446,0.6887331256490135,0.7973525309506779,0.3655338325483685,0.6988395972703487,0.81855018215382,0.41344996910669574,0.7191435328112754
30,0.8267781347352025,0.39701104613385313,0.7202167705088266,0.82820876468255,0.3957592041246097,0.7288706592283609,0.8511250802594965,0.4508784696953945,0.7547728287515283
50,0.841756230529595,0.4166382543470849,0.7371560228452751,0.8421957058003798,0.41895210543233685,0.7475598530680515,0.8613508087470854,0.46869351456872244,0.7678609148593798
75,0.8455098001038421,0.4188445667125172,0.7384540498442367,0.8471850857243471,0.4273297105698685,0.7550948339947636,0.8598352188856461,0.46734513114368864,0.7663505019059715
100,0.8483714628764278,0.424390243902439,0.7428933021806854,0.8503220004748658,0.43182237692165704,0.7582436330500171,0.8609852093234724,0.4688507954916102,0.7675967586972161
