n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.8818804236988325,0.05714285714285714,0.5167384623922197,0.7407984336479049,0.041811846689895474,0.5109500981934838,0.8410436661403503,0.0,0.4994716709989645
2,0.8756858746245464,0.132013201320132,0.8192794067661402,0.7579633966677918,0.09749638902262879,0.6625320196143009,0.8468757474178129,0.01079767849912269,0.778860600644662
3,0.863792756609022,0.0,0.5,0.731897190948038,0.0,0.5,0.7931966822951416,0.0,0.5
5,0.9002975880798285,0.09375,0.8220367788344813,0.7833134913374237,0.0810470677070224,0.6857145253168417,0.8988675142070183,0.008749883645164293,0.8168386503357656
10,0.9750830680013041,0.13368983957219252,0.8988477999986126,0.9251137153730741,0.1366865041274717,0.7980637790057046,0.966184595804833,0.013340505648197956,0.9436157226685344
20,0.9779271498831152,0.0,0.5,0.9382789101539788,0.0,0.5,0.9633696085702679,0.0,0.5
30,0.9757281890135198,0.0,0.5,0.9482286444420049,0.0,0.5,0.9524019178175014,0.0,0.5
50,0.5,0.011533107973752238,0.5,0.5,0.01556252026369826,0.5,0.5,0.001329618842598455,0.5
75,0.9513731366061086,0.0,0.5,0.9236142927426274,0.0,0.5,0.895784253246372,0.0,0.5
100,0.982880014428513,0.011533107973752238,0.5,0.951766886365269,0.01556252026369826,0.5,0.9557650254252043,0.001329618842598455,0.5
