n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.526875626516401,0.7372996468350992,0.5266160268976381,0.5644255206717558,0.7456924754634678,0.5590078697827167,0.4943531224431861,0.6451804986974321,0.49598759243154095
2,0.5849946795353622,0.5281506712081747,0.56684343308034,0.5638354360880441,0.47912051164151653,0.5443665610760907,0.5913648003440091,0.48392282958199356,0.5690894789136675
3,0.5997606818691036,0.5258254000405105,0.5728103701440054,0.5714198783576415,0.47945032247186276,0.5508309063705125,0.6148286882333289,0.4930805907663682,0.5837426381460069
5,0.6120568477771557,0.6039115335404862,0.5807047337403791,0.6127792785614141,0.594255137304448,0.5813727216374038,0.6091288639071689,0.5418520873066328,0.5791761201058034
10,0.6447329969529805,0.6501049685094472,0.6029912453861328,0.639226543742391,0.6411741985322519,0.5962558810097487,0.6495666974798626,0.6004020100502513,0.6092997339143209
20,0.684575928477607,0.6976428692555536,0.6395028911397991,0.664151166770724,0.6730515415073268,0.6097491890451339,0.6716372726266169,0.63019052271617,0.6257946239878155
30,0.6998613013452245,0.706855791962175,0.6481918985048569,0.6668718034427084,0.6810263335584065,0.6179556279147418,0.672552736752525,0.6287671232876713,0.6250325284673375
50,0.7087399337699791,0.7122689075630252,0.651791177415741,0.6804988295672036,0.6937483158178389,0.6321303766954907,0.6732887209862969,0.626362735381566,0.6287045840636983
75,0.7125768007186224,0.7201200200033339,0.6561628315697803,0.6799724177587224,0.6922481923658987,0.6292535174687035,0.6705230971832319,0.6276125993523698,0.6252115054456315
100,0.7087772763743276,0.7208878582077191,0.6527886360630891,0.6739939209927135,0.6949000299411158,0.6254885374569371,0.6552693180069871,0.6319638218031367,0.6202404233939105
