n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.539320193081255,0.011191047162270184,0.502413515687852,0.5084792908489512,0.04512537210899931,0.4985621725956461,,0.0,0.0045511663023621715
2,0.6018489254108723,0.0,0.5,0.5720978430760896,0.0,0.5,,0.0,1.0
3,0.5953985174117918,0.0,0.5,0.5711494073900738,0.0,0.5,,0.0,1.0
5,0.6337633605332721,0.0,0.5,0.6128785873077983,0.0,0.5,,0.0,1.0
10,0.6402784162739915,0.017580577647551276,0.6396822204344328,0.6129602964075329,0.060088235294117644,0.5873993905645005,,0.0,0.47854827298550173
20,0.643288127801402,0.0,0.5,0.6083871260879975,0.0,0.5,,0.0,1.0
30,0.6603156246408458,0.0,0.5,0.6199691150065718,0.0,0.5,,0.0,1.0
50,0.6482947362372141,0.0,0.5,0.6152922968027648,0.0,0.5,,0.0,1.0
75,0.6591411906677394,0.0,0.5,0.6155327723084623,0.0,0.5,,0.0,1.0
100,0.6538903574301804,0.01685891748003549,0.6173428341569935,0.619207281250057,0.059916903564399736,0.5820956171041404,,0.0,0.5111984033959515
