n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5131839615054836,0.21036889332003988,0.5091000753163231,0.5449724375068019,0.2543731912775801,0.5385760362569192,0.5305891824354323,0.30116031637692214,0.5265223478910395
2,0.5478377892718054,0.244136460554371,0.5373326042032942,0.5268046493702117,0.21569144925350625,0.5152367451885904,0.5308888956202616,0.2644160624901798,0.5249530718652955
3,0.5505753545912454,0.260332541567696,0.5407786864788897,0.5458164773457872,0.24462319779133576,0.5256518801359327,0.5254532236089132,0.27626361701239616,0.5182899495763016
5,0.5671064001126972,0.2866065232477446,0.5429835468774784,0.5219275967454858,0.25928595454327036,0.504484676506581,0.4971775266252836,0.30866233721609454,0.5014004194066561
10,0.5717331128935111,0.2895894428152493,0.5491669171664646,0.5315988357277537,0.2615802425061519,0.5128710328461548,0.49259202894291404,0.29040976618476666,0.49956451225443355
20,0.5765152557150004,0.28520017993702207,0.5562895230446874,0.5378590297983683,0.25026148141104876,0.5234939596101919,0.4918310651052632,0.23117427972087845,0.4962838829429519
30,0.577074027404493,0.2851919561243144,0.5570645934526932,0.5381866908081778,0.24782643761593676,0.5232046523965,0.49111172882204257,0.22154515778019587,0.4941506562466448
50,0.5776494374569482,0.2861060329067642,0.5577578585761332,0.5391391475631293,0.24769024157403363,0.5233762600767655,0.4904346795657023,0.21846610761705101,0.493096058073188
75,0.5780942363601473,0.28558310376492196,0.5575831557650264,0.5393945316299985,0.24751029941285238,0.5234541902886642,0.49046867769221436,0.21735703651808388,0.49299811527551374
89,0.5782212425307616,0.28294930875576035,0.5557795572198848,0.5394828771623309,0.24725971702715888,0.5235014331179899,0.4904507868514998,0.21697264811037267,0.4931765853763867
100,0.5782212425307616,0.28294930875576035,0.5557795572198848,0.5394828771623309,0.24725971702715888,0.5235014331179899,0.4904507868514998,0.21697264811037267,0.4931765853763867
