n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5472428717580782,0.0,0.4997829861111111,0.4438417874189358,0.0,0.4996533016351971,,0.0,0.9993558674142828
2,0.5512902915072279,0.0,0.4997829861111111,0.44695846960734203,0.0,0.49955805483167987,,0.0,0.9990707595484736
3,0.5520246510062358,0.14725770097670923,0.5249565972222222,0.4491727006098256,0.06034959702139749,0.44649148047454484,,0.0,0.508283967434346
5,0.5898376603245464,0.16243148978574987,0.5581774376417233,0.5471312206863423,0.08661869402128149,0.5253791479297982,,0.0,0.2260060611820361
10,0.5906514624078798,0.1455625696249536,0.5006510416666666,0.5421133224808324,0.08243945786715366,0.49998744990896943,,0.0,0.0006441325857171519
20,0.6348813288336168,0.18449666783584706,0.5971779336734694,0.6137780817042537,0.10227874933757286,0.5742166569450309,,0.0,0.4568378369816581
30,0.6440861500850341,0.17753721244925574,0.5955591872165533,0.628351146346587,0.09663676425947056,0.5675326924766533,,0.0,0.262425951151519
50,0.6662038513321996,0.19070240922972514,0.611673575680272,0.6472939456499872,0.10773881660429624,0.5948236220984826,,0.0,0.4344727088415117
75,0.6749563757794785,0.20353302611367127,0.6267471832482994,0.6657456514005659,0.11769045167437643,0.6138581051736864,,0.0,0.5182838618388401
100,0.6766481983418368,0.20496894409937888,0.6284013605442177,0.6676431286252329,0.11914004645869386,0.6166771417472803,,0.0,0.5272066820836105
