n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5953411914146415,0.3424036281179138,0.5930522605993811,0.602061858103495,0.34778377421923384,0.6001922308184175,0.5964657755038862,0.35651597946679914,0.5943993590239708
2,0.6988586479367866,0.4176108773065717,0.640795397231614,0.6920728603017038,0.3959807776321538,0.6328346991241145,0.703200386326474,0.4334637648352359,0.6341178673510854
3,0.6933287255835964,0.4103559870550162,0.6338208830690104,0.6872253928721443,0.3879729863938822,0.6253008441666424,0.6978685558998076,0.42893479141352775,0.6298409578892186
5,0.7206333787881618,0.4346692733789508,0.6569972415768467,0.7180526391909763,0.4189917032577463,0.6547437136751448,0.7261839303167684,0.45635266455103013,0.6556112853077203
10,0.7728597313806438,0.48427876823338734,0.7048082491173668,0.7609397310743186,0.46444336071826037,0.6974855720704651,0.7864538235196779,0.5203934859882615,0.714998055931087
20,0.7978606342505246,0.5058236272878536,0.7229154602457051,0.786105442432339,0.48671457432933535,0.7162852839912612,0.8097842773416933,0.5419158126535106,0.7327425180255946
30,0.8043929289721604,0.5123087159015303,0.729016992633827,0.7930927544858487,0.4932214662096485,0.7222726945278446,0.817894376898356,0.5491967702240278,0.7398180048818681
50,0.8135912427848242,0.5196274118429807,0.7358663503508739,0.8007144040220304,0.4995450526072971,0.7278905226363741,0.8224999378821287,0.5534397618886558,0.7433532473848505
75,0.823036880677962,0.5285285285285285,0.7438421160779333,0.8091175578941071,0.506320350760237,0.7340926053362196,0.8298562014073549,0.5607780126849894,0.7500017357989728
100,0.8249859588166799,0.5308436145381794,0.7460824787202909,0.8115077172956123,0.5085974937857162,0.736258180925303,0.8316635815006702,0.5622533310844999,0.7516471623467037
