n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5692221167009953,0.1776485788113695,0.5481764698627265,0.5665182433200769,0.18439038044365655,0.5530972949573014,0.38449305754028884,0.011516622860697016,0.4125462262425031
2,0.5861285906338263,0.185105730922464,0.5631458207427323,0.5712251473202637,0.1858286850389352,0.5560967719500594,0.3854496957900457,0.01145324821629741,0.40522153532247873
3,0.5892092897051024,0.1864406779661017,0.5660454618335203,0.5817424663351368,0.18796394196705943,0.5604532344463408,0.40047058521165424,0.012118508605628044,0.4150362601669759
5,0.6193292961186004,0.19095477386934673,0.5742843399647257,0.6047711310282264,0.19282062805460368,0.569595265559751,0.3952164229816569,0.011886324918692891,0.4149752332111108
10,0.6395081340421072,0.19517102615694165,0.5804240308834594,0.597332591676659,0.1900695876599491,0.5632940959449868,0.3872904744375422,0.01068686661889651,0.4021255813272614
20,0.6631107931770249,0.2108672184238935,0.6051739661317974,0.5891051496478426,0.18261373820443882,0.5498339616992697,0.3890871833837861,0.011367565698478561,0.41704083759104127
30,0.6687085435192835,0.21332362577357117,0.6086865896224669,0.5877867402117309,0.1822656821659017,0.5492670664585975,0.3900517094713759,0.011216829608938548,0.41579811033719605
50,0.6807915736503904,0.21780664883454337,0.613089702635701,0.6037712550219355,0.19094945783048678,0.5629435646503453,0.39679674969475026,0.01047727220045896,0.41133934873258987
75,0.6855479223966748,0.22135922330097088,0.6177000209672048,0.6072430509584955,0.19404451180152116,0.5676605385388185,0.39381724828836473,0.010311948204826369,0.41065299187668947
100,0.687393776440262,0.2218725413060582,0.6176223189728536,0.609169646999936,0.19604612850082373,0.570532944189378,0.39621463364959536,0.010491087322873894,0.4136950658719405
