n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6631431431431432,0.004395604395604396,0.6641641641641641,,0.0,0.7284991322356236,,0.0,0.8063589613626044
2,0.5,0.0,0.5,,0.0,1.0,,0.0,1.0
3,0.8594194194194194,0.018018018018018018,0.5894894894894895,,0.0,0.979253868479006,,0.0,0.9886907213229005
5,0.5,0.0,0.5,,0.0,1.0,,0.0,1.0
10,0.8372772772772773,0.003289473684210526,0.6966966966966968,,0.0,0.402183266002596,,0.0,0.369468115437007
20,0.5,0.001998001998001998,0.5,,0.0,0.0,,0.0,0.0
30,0.5,0.0,0.5,,0.0,1.0,,0.0,1.0
50,0.7974374374374376,0.0,0.5,,0.0,1.0,,0.0,1.0
75,0.8226626626626626,0.0,0.5,,0.0,1.0,,0.0,1.0
100,0.5,0.001998001998001998,0.5,,0.0,0.0,,0.0,0.0
