n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.7706516072476577,0.6251538272212651,0.714657745168714,0.7742358981917434,0.6275096577615757,0.7243634527465029,0.8048987435830162,0.6615446713154342,0.7539221129348179
2,0.8342172801599887,0.659919028340081,0.7466019700524646,0.8392744968346033,0.656857260079818,0.7509313008074605,0.879475309217457,0.7115175941714463,0.7967008348315558
3,0.8289084383919936,0.6597098498345635,0.7464101147492092,0.834390439910535,0.654436723679138,0.7486440286591607,0.8725616521690223,0.7037152228002714,0.7898136304733188
5,0.8570692477225897,0.6825518831667948,0.7665845283320214,0.8618502338375222,0.6824840223969233,0.7734624906175367,0.901390860793006,0.7389483613703604,0.8191195822338485
10,0.8841546170852445,0.7142495570741585,0.795190253641946,0.8899321442056182,0.7184811683893637,0.8061673531218014,0.9202189816710585,0.7597234472358949,0.8372207492133755
20,0.9252925951820506,0.7679586563307493,0.8412216737279197,0.9345222957049168,0.7678036195318132,0.8483566309564426,0.9450284962797397,0.7934165888923456,0.8607657108981845
30,0.9374130698097978,0.781981981981982,0.8539240520998965,0.9462609418704272,0.7843103807736775,0.8630076542704423,0.9548497942477476,0.8111230640003537,0.8759978528351213
50,0.9510532666013689,0.8052840158520476,0.8710995834956272,0.956806805413397,0.8105261104500322,0.8818096376663255,0.9644555082460209,0.8319908631882664,0.8901163278578418
75,0.9533653991540982,0.8112299465240642,0.8746410748532656,0.9589922177489669,0.8178383657042524,0.8863505661321506,0.9658715441976244,0.8355538001124159,0.8912950336292009
100,0.956141642270531,0.8194070080862533,0.8804727879644886,0.9614772415027104,0.8271318678037956,0.8928179524621858,0.9688555575851723,0.8438432949491257,0.8974809640620218
