n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.7395001628201271,0.01940978411566647,0.5,0.8571758492758031,0.01390260962366328,0.5,0.47649471106833513,0.5002613033494339,0.5
2,0.7482429853379445,0.07650273224043716,0.7195660328360793,0.9141667051764525,0.08710217755443886,0.8568546275963118,0.4752815728020838,0.1828383683222393,0.4806934275571577
3,0.7756214988520151,0.060542797494780795,0.7070474321823256,0.9226187472636684,0.07029018503953305,0.858656767998025,0.47615195997123994,0.23463516277647148,0.48158969571356497
5,0.7409717270062944,0.03064443442992339,0.6312247783379157,0.9167320220465514,0.02866658933868001,0.7346859236937013,0.46772937457137054,0.3500866070809949,0.47855881228297015
10,0.8130041756149036,0.035621198957428324,0.6949781326386342,0.9421390631505164,0.029180659778574067,0.7502576160548151,0.49417652004928103,0.37330134801750103,0.4942593219034975
20,0.8317140631247449,0.2517482517482518,0.6759982522599022,0.9711434252295666,0.401010951979781,0.8634471742277685,0.4826336358500517,0.015054082086234998,0.488951937103377
30,0.8183463245932588,0.05998286203941731,0.7477710130709525,0.9612286889297632,0.05902894365724263,0.8537600451752407,0.4698324794708382,0.2158262308328684,0.47169540594953113
50,0.8163883610402352,0.025033288948069242,0.6100705279081942,0.9527942834647738,0.019128016684874367,0.638376107363685,0.46437719822740275,0.4476114171256885,0.4899647423081199
75,0.8102712706977357,0.01958824705176894,0.5046455261563321,0.9496736557351366,0.013994338390070407,0.5033235588770831,0.4731821192548462,0.49875692033964275,0.4985296238562773
100,0.8487050647364581,0.023523763802208355,0.5891739042617653,0.9688330542676059,0.017164551547126764,0.5962630697990603,0.47189465105403866,0.47398021968005105,0.49862688064126776
