n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.6083014716368649,0.2956481694681096,0.5958421820079806,0.604847661259073,0.2878715045832021,0.5959834417199538,0.6367841623568274,0.33108640462225336,0.6251775069442078
2,0.6196162949495694,0.30036221788799106,0.6007159463061291,0.6207772420824645,0.2953924791574348,0.6041255422822479,0.6618162734273303,0.34822291260981375,0.6431017025899062
3,0.6560146248501506,0.3077352694777995,0.6113527889373215,0.6619637855492713,0.2998622221308273,0.6107354002191804,0.690681132405923,0.3482944871719603,0.6438542968748684
5,0.7132358386441552,0.33480907581627006,0.6511521790942644,0.722756752669586,0.32902259317007554,0.6541641152735144,0.7578720136082737,0.381858611528243,0.691516628495989
10,0.7602226648311226,0.34380557202133966,0.6589975458166506,0.7661539657342376,0.3366537780981716,0.6598254874951197,0.8131198384967464,0.3968539047501084,0.7043001837966889
20,0.7940869348126345,0.42780748663101603,0.7207303305564099,0.7937245220017914,0.423237819645834,0.7189023106084387,0.8326504398397145,0.4797825211437777,0.7612314959879685
30,0.8255453677895631,0.4474327628361858,0.7414870818243291,0.8294806938166639,0.4493689599900403,0.7456893570302421,0.8408731065453939,0.4855371488946036,0.7687595156882286
50,0.8368794326241134,0.4520440251572327,0.7519858382399214,0.8410934040080212,0.4420560885827063,0.746882240040792,0.8498250463403891,0.47501422879908933,0.7665737120369946
75,0.8485148940697629,0.4708186447316882,0.771953848805619,0.8530892985830205,0.4653706676178586,0.7696682820462246,0.859387612115618,0.4935224932144988,0.783410795014444
100,0.8536764727282958,0.48278622898318657,0.7800005238868133,0.8617738570980433,0.48358409991887713,0.7821581523129557,0.8597536659705083,0.5050030590696482,0.7904036391362714
