n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.629615405519464,0.4199772985244041,0.603160647603458,0.6217711371892807,0.4155362709579577,0.6021213473061715,0.6195660075350736,0.4328463076729061,0.5975301694996379
2,0.7556752423397617,0.5289508053983457,0.6630877858202466,0.755197625393039,0.5335261824661781,0.6677640008962974,0.795342641704011,0.5783216101097901,0.6881446637732557
3,0.7983184881579621,0.5796443435489973,0.7085648562586322,0.8059901814952347,0.5901315331616674,0.7149118817287158,0.8227689735145811,0.6283230461618708,0.7343950920615019
5,0.8101765115862705,0.599626168224299,0.7221237339505857,0.8149095835166591,0.6024769171227954,0.7231600899721877,0.8313211492167516,0.6390098872986241,0.7422683624687214
10,0.8407927875147067,0.6432631227014376,0.7583564056985013,0.8458715950155836,0.6506445649341787,0.761866775740123,0.861450618645529,0.6830360566231615,0.7817519695374483
20,0.8789318267558444,0.7005649717514124,0.8018257008031101,0.8774806639371037,0.7004472428353696,0.7974878422333445,0.8916658263088459,0.7317489109033688,0.8204758307532833
30,0.886127886976316,0.7163305139882888,0.81631653153614,0.8838579272817878,0.7153806971159677,0.8118110984100426,0.8970895750323976,0.7424425634824667,0.8306010462864422
50,0.9009061564849864,0.7348387096774194,0.8317041472709601,0.8973153799346545,0.7340446215914063,0.8254835493531242,0.9132206526465276,0.7655173467361249,0.8497827203406145
75,0.90595187093969,0.733125,0.8348612780704896,0.9018449233940931,0.7336294190797655,0.8286421844660775,0.9184739356631172,0.7631453154875717,0.8508449295334453
100,0.9071831519515065,0.7380073800738007,0.8411587549235255,0.9012463156903038,0.7356717746848493,0.83171121876634,0.9160667824871576,0.7628755683675592,0.851334877980018
