n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5443632073818021,0.19671457905544149,0.5392438701173039,0.52785381850237,0.21396324366135377,0.5251456091243142,,0.0,0.07651450354272922
2,0.5484257665420941,0.19844439772966155,0.5441528596770462,0.5349498313187608,0.21552097665544162,0.5296715189203002,,0.0,0.08644048109312467
3,0.5484257665420941,0.19844439772966155,0.5441528596770462,0.5349498307975065,0.21551933836049622,0.5296673976222562,,0.0,0.08644048109312467
5,0.5596716998198021,0.1991561181434599,0.54604511257108,0.5399240506669447,0.21546864391910964,0.5296730508870303,,0.0,0.0888269395254538
10,0.5685985496525758,0.20106496272630459,0.5510540172905813,0.5492334470863198,0.2182476410552667,0.5364632116801159,,0.0,0.10062195752948755
20,0.576191663569881,0.2015005359056806,0.552202165179041,0.5638267098699633,0.22055324905537155,0.5420287277038773,,0.0,0.10696824743138932
30,0.5857806704482509,0.20145735105015003,0.5520908561852743,0.5722843249685954,0.2204740323846985,0.5418432004863128,,0.0,0.10693656877963274
50,0.5881558466144536,0.2015005359056806,0.552202165179041,0.5733395260860034,0.22060355415973507,0.5421414911930524,,0.0,0.10683097327377747
75,0.5880476051913813,0.20167346063076594,0.5526474011541077,0.5733887317210391,0.2205825182328518,0.5420974389398054,,0.0,0.10703160473490249
100,0.5901942473408545,0.20163020163020162,0.552536092160341,0.5741938120342177,0.2206702389933194,0.5423049234784104,,0.0,0.10741174855598146
